"name"   "category"   "city"   "restdollars"   "numitems"   "origin"   "traditional"   "generous"   "participle"   "useless"   "delicious"   "choice"   "adj"   "sensoryadj"   "length"   "wordlen"
 "2376"   "Awash Ethiopian Restaurant"   "ethiopian"   "nyc"   "2.0"   "37"   "0.0000"   "0.0270"   "0.0000"   "0.7838"   "0.0541"   "0.0270"   "0.1081"   "1.8378"   "0.3514"   "12.7027"   "6.2082"
 "2377"   "Parnell's Pub"   "bars"   "nyc"   "2.0"   "32"   "0.0000"   "0.0000"   "0.0000"   "0.8438"   "0.0000"   "0.0000"   "0.1562"   "1.7500"   "0.3125"   "12.2500"   "6.1343"
 "2378"   "Tangierino"   "middle eastern"   "boston"   "3.0"   "37"   "0.0000"   "0.0000"   "0.0000"   "0.8108"   "0.0000"   "0.0000"   "0.0541"   "1.8378"   "0.2973"   "13.5676"   "6.6918"
 "2379"   "Waterfront Ale House"   "american (traditional)"   "nyc"   "2.0"   "34"   "0.0294"   "0.0294"   "0.0000"   "0.6176"   "0.0294"   "0.0000"   "0.0000"   "1.8824"   "0.7059"   "11.2647"   "6.6281"
 "2380"   "Saucy"   "other"   "nyc"   "2.0"   "135"   "0.0296"   "0.0148"   "0.0000"   "0.4000"   "0.0000"   "0.0000"   "0.0000"   "3.2963"   "0.5926"   "14.2667"   "6.4398"
 "2381"   "Sissy K's"   "bars"   "boston"   "1.0"   "67"   "0.0149"   "0.0597"   "0.0299"   "0.5224"   "0.0000"   "0.0149"   "0.4478"   "1.9701"   "0.5075"   "13.8806"   "6.2560"
 "2382"   "M.J. Armstrong's"   "american (new)"   "nyc"   "2.0"   "56"   "0.0714"   "0.0000"   "0.0000"   "0.3571"   "0.0000"   "0.0000"   "0.2500"   "0.7679"   "0.2143"   "7.8929"   "6.4159"
 "2383"   "Domino's Pizza"   "pizza"   "philadelphia"   "1.0"   "60"   "0.1333"   "0.0000"   "0.1000"   "0.8500"   "0.1500"   "0.0167"   "0.0667"   "3.2833"   "0.8833"   "19.2167"   "6.3366"
 "2384"   "Heartbeat at W New York"   "spanish"   "nyc"   "2.0"   "64"   "0.1875"   "0.0156"   "0.0000"   "0.5312"   "0.0000"   "0.0000"   "0.2344"   "1.2812"   "0.3438"   "9.0781"   "6.5713"
 "2385"   "Asian Dragon"   "chinese"   "nyc"   "2.0"   "363"   "0.0055"   "0.0000"   "0.0000"   "0.2066"   "0.0055"   "0.0000"   "0.1763"   "0.7824"   "0.2397"   "6.3361"   "5.8827"
 "2386"   "Lusardi's"   "italian"   "nyc"   "3.0"   "56"   "0.1071"   "0.1071"   "0.0000"   "0.3393"   "0.0000"   "0.0179"   "0.0000"   "1.3036"   "0.2857"   "13.5179"   "6.4700"
 "2387"   "Baja Fresh Mexican Grill"   "fast food"   "la"   "1.0"   "54"   "0.0000"   "0.1111"   "0.0370"   "0.7407"   "0.0185"   "0.0370"   "1.2037"   "2.5741"   "0.9444"   "19.9074"   "6.1614"
 "2388"   "Margot Patisserie - The Ansonia"   "bakeries"   "nyc"   "1.0"   "44"   "0.0455"   "0.0227"   "0.0000"   "0.0909"   "0.0000"   "0.0000"   "0.0455"   "1.9318"   "0.8409"   "9.5455"   "6.1743"
 "2389"   "Rachel's"   "american (new)"   "nyc"   "2.0"   "48"   "0.0208"   "0.0417"   "0.0000"   "0.4792"   "0.0000"   "0.0000"   "0.0208"   "0.8958"   "0.1042"   "9.3750"   "6.2541"
 "2390"   "Phoebe's Bar-B-Q"   "barbeque"   "philadelphia"   "2.0"   "61"   "0.0000"   "0.0492"   "0.0000"   "0.1803"   "0.0328"   "0.0000"   "0.0656"   "0.9180"   "0.1148"   "6.9016"   "5.6080"
 "2391"   "Cosmic Cantina"   "mexican"   "nyc"   "2.0"   "40"   "0.0000"   "0.0750"   "0.0000"   "0.0500"   "0.0000"   "0.0000"   "0.0000"   "2.6500"   "0.6000"   "9.7000"   "5.9442"
 "2392"   "Boloco"   "american (new)"   "boston"   "1.0"   "36"   "0.0000"   "0.0000"   "0.0556"   "0.3333"   "0.0000"   "0.0000"   "0.0000"   "1.3611"   "0.0556"   "10.7222"   "6.2697"
 "2393"   "Mondo Caffe"   "italian"   "sf"   "1.0"   "36"   "0.0000"   "0.0000"   "0.0000"   "0.6944"   "0.1111"   "0.0000"   "0.0833"   "1.5278"   "0.3056"   "11.1944"   "6.8781"
 "2394"   "Milano's Pizzeria & Grill"   "pizza"   "philadelphia"   "1.0"   "255"   "0.0000"   "0.0196"   "0.0000"   "0.2157"   "0.0078"   "0.0000"   "0.0275"   "0.9176"   "0.2118"   "7.7961"   "6.8815"
 "2395"   "Herbivore"   "vegetarian"   "sf"   "2.0"   "71"   "0.0423"   "0.0141"   "0.0000"   "0.5915"   "0.0000"   "0.0000"   "0.5070"   "1.4789"   "0.2535"   "13.4366"   "6.2915"
 "2396"   "Takami Sushi & Robata Restaurant"   "sushi bars"   "la"   "3.0"   "109"   "0.0183"   "0.0183"   "0.0000"   "0.4587"   "0.0183"   "0.0000"   "0.1009"   "1.2752"   "0.4495"   "9.9174"   "6.4385"
 "2397"   "Waikiki Wally's"   "fast food"   "nyc"   "2.0"   "50"   "0.0000"   "0.0000"   "0.0200"   "0.3800"   "0.0200"   "0.0000"   "0.4200"   "1.2200"   "0.0200"   "10.3200"   "6.5844"
 "2398"   "Marmont Steakhouse"   "steakhouses"   "philadelphia"   "2.0"   "37"   "0.0270"   "0.0541"   "0.0000"   "1.1351"   "0.0000"   "0.0541"   "0.7297"   "2.3784"   "0.1892"   "15.4865"   "6.2304"
 "2399"   "Rising Dragon"   "chinese"   "nyc"   "1.0"   "201"   "0.0000"   "0.0000"   "0.0000"   "0.1194"   "0.0000"   "0.0050"   "0.0647"   "0.5522"   "0.1144"   "4.7512"   "5.5957"
 "2400"   "Veerasway Restaurant"   "fast food"   "chicago"   "2.0"   "32"   "0.0625"   "0.0000"   "0.0000"   "0.5625"   "0.0938"   "0.0000"   "0.0938"   "1.5000"   "0.3750"   "9.6562"   "6.3949"
 "2401"   "Tazaki Sushi"   "sushi bars"   "sf"   "2.0"   "84"   "0.0000"   "0.0000"   "0.0000"   "0.0238"   "0.0000"   "0.0000"   "0.0476"   "0.2381"   "0.0952"   "3.7619"   "5.8160"
 "2402"   "Cafe Deluxe"   "american (traditional)"   "washington"   "2.0"   "25"   "0.0000"   "0.0000"   "0.0000"   "0.3200"   "0.0000"   "0.0000"   "0.0000"   "0.6800"   "0.0800"   "4.6400"   "6.4110"
 "2403"   "Sabor A Mexico"   "mexican"   "nyc"   "2.0"   "98"   "0.0000"   "0.0204"   "0.0000"   "0.2653"   "0.0408"   "0.0306"   "0.1429"   "0.9184"   "0.3061"   "6.9898"   "6.3756"
 "2404"   "New China"   "chinese"   "chicago"   "1.0"   "263"   "0.0000"   "0.0000"   "0.0000"   "0.0989"   "0.0000"   "0.0000"   "0.0798"   "1.4943"   "0.2357"   "5.8707"   "5.6805"
 "2405"   "Delfina"   "italian"   "sf"   "3.0"   "30"   "0.0000"   "0.0000"   "0.0000"   "0.3667"   "0.0000"   "0.0000"   "0.0000"   "0.9333"   "0.2333"   "6.9333"   "7.2088"
 "2406"   "Nook"   "coffee & tea"   "sf"   "2.0"   "41"   "0.0000"   "0.0000"   "0.0000"   "0.4146"   "0.0000"   "0.0000"   "0.0488"   "0.9268"   "0.1707"   "6.7073"   "6.3282"
 "2407"   "Knowfat! Lifestyle Grille"   "fast food"   "boston"   "2.0"   "52"   "0.0000"   "0.0000"   "0.0000"   "0.0769"   "0.0385"   "0.0000"   "0.1731"   "0.3846"   "0.0577"   "11.5000"   "4.4670"
 "2408"   "Gee Whiz Diner"   "diners"   "nyc"   "2.0"   "230"   "0.0000"   "0.0478"   "0.0000"   "0.3696"   "0.0000"   "0.0000"   "0.1609"   "1.0435"   "0.1696"   "7.5609"   "6.2042"
 "2409"   "Arroi"   "thai"   "sf"   "2.0"   "87"   "0.0000"   "0.0000"   "0.0000"   "0.2414"   "0.0000"   "0.0000"   "0.4138"   "1.2759"   "0.3103"   "13.0230"   "5.5614"
 "2410"   "Diane & Tom's Cafe"   "italian"   "philadelphia"   "2.0"   "126"   "0.0000"   "0.0556"   "0.0000"   "0.1905"   "0.0397"   "0.0238"   "0.0794"   "0.9524"   "0.1746"   "6.0714"   "6.5354"
 "2411"   "Royal Tavern"   "american (new)"   "philadelphia"   "2.0"   "37"   "0.0541"   "0.0000"   "0.0000"   "1.0811"   "0.0000"   "0.0000"   "0.2162"   "1.8108"   "0.2432"   "10.0000"   "6.4535"
 "2412"   "Bamboo 52"   "sushi bars"   "nyc"   "2.0"   "77"   "0.0260"   "0.0000"   "0.0000"   "0.1818"   "0.0130"   "0.0000"   "0.0519"   "0.8701"   "0.2208"   "6.4675"   "6.2011"
 "2413"   "Chef's Kitchen"   "american (traditional)"   "nyc"   "1.0"   "292"   "0.0034"   "0.0411"   "0.0034"   "0.3151"   "0.0034"   "0.0068"   "0.0548"   "0.8699"   "0.1370"   "6.1507"   "6.4405"
 "2414"   "Caffeination"   "coffee & tea"   "philadelphia"   "1.0"   "43"   "0.0000"   "0.0000"   "0.0000"   "0.1395"   "0.0000"   "0.0000"   "0.4651"   "0.7907"   "0.0233"   "5.4884"   "6.3250"
 "2415"   "Highlands Cafe"   "american (traditional)"   "nyc"   "2.0"   "381"   "0.0000"   "0.0184"   "0.0000"   "0.1785"   "0.0052"   "0.0052"   "0.1601"   "0.8058"   "0.1234"   "6.5591"   "6.2726"
 "2416"   "Rocking Horse Cafe"   "mexican"   "nyc"   "2.0"   "13"   "0.5385"   "0.0000"   "0.0000"   "0.8462"   "0.0000"   "0.0000"   "0.0769"   "2.2308"   "0.1538"   "12.0000"   "7.1133"
 "2417"   "Bissap Baobab"   "other"   "sf"   "2.0"   "33"   "0.0000"   "0.0000"   "0.0000"   "0.5455"   "0.0000"   "0.0303"   "1.2121"   "1.0909"   "0.1212"   "16.8182"   "6.1000"
 "2418"   "Paisano Tacos"   "mexican"   "chicago"   "1.0"   "98"   "0.0000"   "0.0102"   "0.0000"   "0.0816"   "0.0000"   "0.0102"   "0.1020"   "0.5510"   "0.1633"   "5.7857"   "5.9909"
 "2419"   "Taqueria Diversey"   "mexican"   "chicago"   "2.0"   "89"   "0.0000"   "0.0000"   "0.0000"   "0.0225"   "0.0000"   "0.0000"   "0.0000"   "0.1798"   "0.0562"   "2.5393"   "6.2925"
 "2420"   "Fika"   "coffee & tea"   "nyc"   "2.0"   "15"   "0.0000"   "0.0000"   "0.0000"   "0.6667"   "0.0000"   "0.0000"   "0.0000"   "1.7333"   "0.4667"   "11.2000"   "6.3285"
 "2421"   "Vince's Pizzeria"   "pizza"   "philadelphia"   "1.0"   "32"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "1.0938"   "0.0625"   "2.7500"   "6.4323"
 "2422"   "Nino's"   "pizza"   "nyc"   "1.0"   "187"   "0.0214"   "0.0481"   "0.0000"   "0.6310"   "0.0374"   "0.0695"   "0.0909"   "1.6203"   "0.4011"   "12.1283"   "6.4839"
 "2423"   "Hong Kong Dim Sum"   "chinese"   "sf"   "1.0"   "44"   "0.0000"   "0.0000"   "0.0000"   "0.3409"   "0.0000"   "0.0000"   "0.0000"   "0.5909"   "0.1364"   "5.5682"   "5.8675"
 "2424"   "Pizza & Pita"   "pizza"   "nyc"   "1.0"   "250"   "0.0000"   "0.0040"   "0.0000"   "0.1720"   "0.0000"   "0.0160"   "0.0080"   "0.7720"   "0.0880"   "5.7120"   "6.2666"
 "2425"   "Baby Bo's Cantina"   "mexican"   "nyc"   "2.0"   "65"   "0.0308"   "0.0154"   "0.0000"   "0.7231"   "0.0000"   "0.0000"   "0.0923"   "1.3692"   "0.1385"   "10.1538"   "6.0825"
 "2426"   "Shima Sushi"   "sushi bars"   "sf"   "2.0"   "103"   "0.0000"   "0.0000"   "0.0000"   "0.1456"   "0.0291"   "0.0000"   "0.0194"   "0.7379"   "0.3010"   "5.6214"   "6.1489"
 "2427"   "Tacos Neza"   "mexican"   "nyc"   "2.0"   "158"   "0.0000"   "0.0000"   "0.0000"   "0.0759"   "0.0000"   "0.0000"   "0.0063"   "0.2532"   "0.0823"   "4.1519"   "6.3138"
 "2428"   "El Pollo Loco"   "fast food"   "la"   "1.0"   "14"   "0.0000"   "0.0000"   "0.0000"   "0.2857"   "0.0000"   "0.0000"   "0.1429"   "1.5000"   "0.7857"   "10.7857"   "6.3774"
 "2429"   "Taco Bandito"   "mexican"   "nyc"   "1.0"   "84"   "0.0000"   "0.0000"   "0.0000"   "0.1429"   "0.0000"   "0.0000"   "0.1190"   "0.5833"   "0.2143"   "5.2024"   "6.4832"
 "2430"   "El Burrito Express"   "mexican"   "sf"   "1.0"   "65"   "0.0000"   "0.0000"   "0.0000"   "0.3385"   "0.0000"   "0.0000"   "0.0308"   "0.6308"   "0.1077"   "4.8615"   "6.3614"
 "2431"   "Bombay Grill"   "indian"   "nyc"   "2.0"   "35"   "0.0000"   "0.1143"   "0.0000"   "0.1714"   "0.0286"   "0.0000"   "0.0286"   "0.9714"   "0.4000"   "7.4286"   "6.2043"
 "2432"   "Ristorante Toscano"   "italian"   "boston"   "3.0"   "74"   "0.0405"   "0.0405"   "0.0000"   "0.4324"   "0.0000"   "0.0000"   "0.0135"   "1.0541"   "0.1757"   "8.4459"   "6.8822"
 "2433"   "Fork"   "american (new)"   "philadelphia"   "3.0"   "38"   "0.0789"   "0.0263"   "0.0000"   "0.3684"   "0.0000"   "0.0000"   "0.0000"   "2.0789"   "0.7895"   "11.7368"   "6.3848"
 "2434"   "Saji's"   "sushi bars"   "nyc"   "1.0"   "92"   "0.0000"   "0.0000"   "0.0000"   "0.0435"   "0.0109"   "0.0000"   "0.0000"   "0.3043"   "0.1196"   "4.0870"   "6.0684"
 "2435"   "Blockheads"   "mexican"   "nyc"   "2.0"   "89"   "0.0000"   "0.0000"   "0.0112"   "0.4831"   "0.0000"   "0.0000"   "0.2247"   "1.9663"   "0.6517"   "11.7416"   "6.2516"
 "2436"   "Chava's"   "mexican"   "sf"   "1.0"   "96"   "0.0000"   "0.0000"   "0.0000"   "0.0833"   "0.0000"   "0.0104"   "0.1667"   "0.3958"   "0.1354"   "7.8958"   "6.0545"
 "2437"   "Gloria's Cafe"   "latin american"   "chicago"   "1.0"   "69"   "0.0000"   "0.0000"   "0.0000"   "0.1739"   "0.0000"   "0.0145"   "0.0290"   "0.6087"   "0.2029"   "5.2464"   "6.1139"
 "2438"   "Andale Mexican Restaurant"   "mexican"   "sf"   "2.0"   "29"   "0.0000"   "0.1034"   "0.0000"   "0.5517"   "0.0345"   "0.0000"   "0.3103"   "2.0690"   "1.0690"   "16.0345"   "6.5645"
 "2439"   "Happy Garden Chinese Restaurant"   "chinese"   "boston"   "1.0"   "378"   "0.0000"   "0.0000"   "0.0000"   "0.0317"   "0.0053"   "0.0000"   "0.0026"   "0.4259"   "0.1772"   "5.0212"   "5.1630"
 "2440"   "Circle Bistro"   "american (new)"   "washington"   "3.0"   "18"   "0.0000"   "0.0000"   "0.0000"   "0.3333"   "0.0000"   "0.0000"   "0.6111"   "1.3333"   "0.2778"   "6.5000"   "6.5605"
 "2441"   "Apropos"   "other"   "boston"   "3.0"   "41"   "0.0976"   "0.0000"   "0.0000"   "0.8049"   "0.0000"   "0.0000"   "0.3171"   "2.0976"   "0.5122"   "12.8293"   "6.7346"
 "2442"   "SoHo Sushi"   "sushi bars"   "nyc"   "2.0"   "246"   "0.0000"   "0.0000"   "0.0000"   "0.2073"   "0.0041"   "0.0000"   "0.0488"   "0.6098"   "0.1870"   "6.4146"   "6.2264"
 "2443"   "Burgermeister"   "other"   "sf"   "1.0"   "52"   "0.1154"   "0.0577"   "0.0000"   "0.5000"   "0.0000"   "0.0000"   "0.1346"   "1.0577"   "0.0577"   "8.5962"   "6.5111"
 "2444"   "Il Fornaio"   "italian"   "sf"   "2.0"   "49"   "0.1633"   "0.0204"   "0.0000"   "0.9592"   "0.0000"   "0.0000"   "0.0000"   "3.0000"   "0.5510"   "18.8980"   "6.9333"
 "2445"   "Campagnola Trattoria"   "italian"   "la"   "2.0"   "59"   "0.0169"   "0.1017"   "0.0000"   "0.6271"   "0.0000"   "0.0000"   "0.0169"   "1.4915"   "0.4237"   "14.1186"   "6.6460"
 "2446"   "Burrito Box"   "mexican"   "nyc"   "1.0"   "105"   "0.0000"   "0.0000"   "0.0000"   "0.2571"   "0.0000"   "0.0000"   "0.1524"   "0.4667"   "0.0762"   "3.5524"   "5.8533"
 "2447"   "Cremcaffe"   "italian"   "nyc"   "2.0"   "43"   "0.0000"   "0.0465"   "0.0000"   "0.2093"   "0.0000"   "0.0000"   "0.0465"   "0.5116"   "0.0930"   "6.6047"   "6.6687"
 "2448"   "Cosi Sandwich Bar"   "sandwiches"   "boston"   "1.0"   "8"   "0.1250"   "0.0000"   "0.0000"   "1.1250"   "0.0000"   "0.0000"   "0.5000"   "2.3750"   "1.1250"   "25.3750"   "6.6893"
 "2449"   "Saladworks"   "american (new)"   "philadelphia"   "2.0"   "38"   "0.0263"   "0.1842"   "0.0000"   "0.6316"   "0.0263"   "0.0000"   "0.2368"   "1.8947"   "0.4474"   "13.6579"   "6.5664"
 "2450"   "See Thru Chinese Kitchen"   "chinese"   "chicago"   "1.0"   "377"   "0.0000"   "0.0053"   "0.0000"   "0.0557"   "0.0000"   "0.0053"   "0.0292"   "0.6127"   "0.1910"   "5.8780"   "4.9966"
 "2451"   "Shee Yuan Chinese"   "chinese"   "philadelphia"   "1.0"   "303"   "0.0000"   "0.0066"   "0.0000"   "0.1254"   "0.0000"   "0.0000"   "0.0033"   "0.5050"   "0.1650"   "5.3333"   "5.2557"
 "2452"   "O'Reilly's Pub & Restaurant"   "bars"   "nyc"   "2.0"   "29"   "0.0000"   "0.0690"   "0.0000"   "0.7241"   "0.0000"   "0.0000"   "0.0690"   "1.4828"   "0.1034"   "7.9655"   "6.2571"
 "2453"   "Rangoon Burmese Restaurant"   "otherasian"   "philadelphia"   "2.0"   "188"   "0.0106"   "0.0532"   "0.0000"   "0.3564"   "0.0000"   "0.0213"   "0.3138"   "1.3404"   "0.5957"   "13.8085"   "6.1915"
 "2454"   "Gyro King"   "middle eastern"   "sf"   "1.0"   "40"   "0.0000"   "0.2000"   "0.0000"   "0.6500"   "0.0000"   "0.0000"   "0.1750"   "1.5000"   "0.2500"   "12.9750"   "6.3876"
 "2455"   "Olympic Diner"   "diners"   "nyc"   "1.0"   "297"   "0.0000"   "0.0236"   "0.0000"   "0.1246"   "0.0168"   "0.0000"   "0.1818"   "0.6936"   "0.1044"   "5.8384"   "6.2742"
 "2456"   "M. Rohrs'"   "coffee & tea"   "nyc"   "2.0"   "69"   "0.0000"   "0.0000"   "0.0000"   "0.0580"   "0.0725"   "0.0145"   "0.0000"   "1.2174"   "0.1739"   "5.8696"   "5.9112"
 "2457"   "Calle Ocho"   "latin american"   "nyc"   "2.0"   "36"   "0.0556"   "0.0833"   "0.0000"   "0.2222"   "0.0278"   "0.0000"   "0.0278"   "1.4167"   "0.3611"   "9.8889"   "6.7602"
 "2458"   "Gobo World Vegetarian Cuisine"   "vegetarian"   "nyc"   "2.0"   "20"   "0.0500"   "0.2000"   "0.0000"   "0.2500"   "0.0000"   "0.0000"   "0.0500"   "1.5000"   "0.1000"   "12.8500"   "6.3702"
 "2459"   "Benny The Bum�s Seafood Restaurant and Lounge"   "american (traditional)"   "philadelphia"   "2.0"   "59"   "0.0000"   "0.0847"   "0.0508"   "0.4407"   "0.1525"   "0.0169"   "0.2881"   "1.4915"   "0.3559"   "9.8475"   "6.0536"
 "2460"   "Simply Ayzen"   "asian fusion"   "washington"   "2.0"   "92"   "0.0109"   "0.0543"   "0.0000"   "0.2174"   "0.0109"   "0.0000"   "0.4457"   "1.4674"   "0.2391"   "11.0978"   "6.0713"
 "2461"   "Cafe Lift"   "american (new)"   "philadelphia"   "2.0"   "53"   "0.0189"   "0.3019"   "0.0000"   "0.8113"   "0.0000"   "0.0189"   "0.0755"   "1.8868"   "0.5660"   "16.5849"   "6.5586"
 "2462"   "1331 Restaurant"   "other"   "washington"   "3.0"   "13"   "0.0769"   "0.0769"   "0.0000"   "0.5385"   "0.0000"   "0.0000"   "0.0000"   "1.6923"   "0.4615"   "14.0000"   "6.1674"
 "2463"   "Samba Bakery"   "french"   "nyc"   "1.0"   "68"   "0.0000"   "0.0000"   "0.0000"   "0.0147"   "0.0000"   "0.0000"   "0.0000"   "0.0882"   "0.0000"   "1.8235"   "6.6029"
 "2464"   "Hong's Szechuan"   "chinese"   "sf"   "1.0"   "129"   "0.0000"   "0.0000"   "0.0000"   "0.1163"   "0.0000"   "0.0000"   "0.1783"   "0.6357"   "0.2326"   "4.9302"   "5.7962"
 "2465"   "Corbet & Conley"   "sandwiches"   "nyc"   "1.0"   "169"   "0.0118"   "0.0533"   "0.0237"   "0.5325"   "0.0059"   "0.0237"   "0.1124"   "1.2189"   "0.3136"   "10.7751"   "6.1924"
 "2466"   "Trattoria Pesce Pasta"   "italian"   "nyc"   "3.0"   "35"   "0.0000"   "0.0000"   "0.0000"   "0.0286"   "0.0000"   "0.0000"   "0.0571"   "0.0286"   "0.0000"   "2.8286"   "7.0538"
 "2467"   "Bus Stop Cafe"   "diners"   "nyc"   "2.0"   "105"   "0.0000"   "0.0190"   "0.0000"   "0.0762"   "0.0000"   "0.0000"   "0.0000"   "0.2762"   "0.0476"   "2.9143"   "6.7041"
 "2468"   "Chun Hing Szechuan Restaurant"   "chinese"   "philadelphia"   "2.0"   "161"   "0.0000"   "0.0000"   "0.0000"   "0.2360"   "0.0062"   "0.0000"   "0.2547"   "1.0497"   "0.2174"   "7.6957"   "5.9529"
 "2469"   "El Sol De America"   "mexican"   "washington"   "2.0"   "43"   "0.0000"   "0.0000"   "0.0000"   "0.5349"   "0.0000"   "0.0000"   "0.3256"   "1.2791"   "0.3721"   "13.1163"   "6.2761"
 "2470"   "Bamboo"   "thai"   "boston"   "2.0"   "86"   "0.0000"   "0.0000"   "0.0000"   "0.4419"   "0.0581"   "0.0233"   "0.5233"   "2.3953"   "0.7558"   "16.1395"   "6.2450"
 "2471"   "Bella Cucina"   "italian"   "nyc"   "2.0"   "62"   "0.0000"   "0.0000"   "0.0000"   "0.3065"   "0.0000"   "0.0000"   "0.0806"   "0.9516"   "0.2097"   "8.0806"   "6.8215"
 "2472"   "Joy Curry & Tandoor"   "indian"   "nyc"   "1.0"   "89"   "0.0000"   "0.0449"   "0.0000"   "0.1461"   "0.0000"   "0.0000"   "0.0899"   "0.9326"   "0.3820"   "8.2135"   "6.2458"
 "2473"   "El Quijote"   "spanish"   "nyc"   "3.0"   "143"   "0.0000"   "0.0000"   "0.0000"   "0.2028"   "0.0000"   "0.0000"   "0.0839"   "0.5315"   "0.0490"   "6.7203"   "6.3667"
 "2474"   "Crust Eat Real"   "pizza"   "chicago"   "2.0"   "40"   "0.1000"   "0.0250"   "0.0000"   "0.6250"   "0.0000"   "0.0000"   "0.0250"   "1.6000"   "0.4500"   "10.1500"   "6.8764"
 "2475"   "Herrera's Mexican Grill"   "mexican"   "boston"   "1.0"   "72"   "0.0000"   "0.0556"   "0.0000"   "0.3333"   "0.0000"   "0.0000"   "0.2222"   "0.7778"   "0.1944"   "7.0417"   "6.0243"
 "2476"   "Naan"   "indian"   "sf"   "1.0"   "72"   "0.0000"   "0.0694"   "0.0000"   "0.0417"   "0.0000"   "0.0000"   "0.0000"   "0.3750"   "0.0556"   "6.9028"   "6.2139"
 "2477"   "Kelly's Seafood"   "seafood"   "philadelphia"   "2.0"   "134"   "0.0000"   "0.0000"   "0.0000"   "0.1194"   "0.0000"   "0.0000"   "0.0597"   "0.2761"   "0.0299"   "3.7985"   "6.5952"
 "2478"   "Kool Bloo"   "american (traditional)"   "nyc"   "2.0"   "398"   "0.0050"   "0.0302"   "0.0201"   "0.4121"   "0.0025"   "0.0025"   "0.0452"   "1.1055"   "0.1608"   "7.3693"   "6.0586"
 "2479"   "Americano"   "american (new)"   "sf"   "3.0"   "19"   "0.6842"   "0.0000"   "0.0000"   "0.7895"   "0.0000"   "0.0000"   "0.0526"   "1.8421"   "0.2632"   "13.5263"   "6.9955"
 "2480"   "The Dubliner"   "bars"   "washington"   "2.0"   "10"   "0.0000"   "0.0000"   "0.1000"   "0.4000"   "0.1000"   "0.0000"   "0.0000"   "1.7000"   "0.5000"   "12.9000"   "6.2394"
 "2481"   "Vaccaro's Italian Pastry Shop"   "other"   "washington"   "1.0"   "66"   "0.0000"   "0.1212"   "0.0000"   "0.0909"   "0.0455"   "0.0000"   "0.0758"   "0.7424"   "0.2424"   "8.5606"   "7.0565"
 "2482"   "Mio Restaurant"   "latin american"   "washington"   "3.0"   "41"   "0.0244"   "0.0000"   "0.0244"   "0.2195"   "0.0000"   "0.0000"   "0.0488"   "0.7073"   "0.1220"   "6.4146"   "6.4268"
 "2483"   "Roisin Dubh Black Rose"   "other"   "nyc"   "1.0"   "83"   "0.0482"   "0.0482"   "0.0000"   "0.9639"   "0.0000"   "0.0000"   "0.0723"   "1.7349"   "0.4578"   "10.4096"   "6.3147"
 "2484"   "Tacone Flavor Grill"   "american (new)"   "la"   "1.0"   "41"   "0.0000"   "0.2439"   "0.0000"   "0.8780"   "0.0732"   "0.0732"   "0.3171"   "2.1463"   "0.6341"   "13.2439"   "6.6009"
 "2485"   "Il Corallo Trattoria"   "pizza"   "nyc"   "2.0"   "95"   "0.0526"   "0.0316"   "0.0000"   "0.4105"   "0.0000"   "0.0000"   "0.0105"   "1.9368"   "0.8632"   "16.1684"   "6.5422"
 "2486"   "Le Colonial"   "otherasian"   "sf"   "3.0"   "14"   "0.0714"   "0.0714"   "0.0000"   "0.6429"   "0.0000"   "0.0000"   "0.0000"   "2.0000"   "0.5714"   "19.0000"   "6.1561"
 "2487"   "Golden Krust"   "american (traditional)"   "nyc"   "2.0"   "53"   "0.0000"   "0.1132"   "0.0000"   "0.4717"   "0.2075"   "0.1321"   "0.0755"   "1.6792"   "0.4528"   "10.6981"   "5.8124"
 "2488"   "Lezzette"   "sandwiches"   "nyc"   "1.0"   "275"   "0.0109"   "0.0582"   "0.0400"   "0.4545"   "0.0364"   "0.0800"   "0.2000"   "1.8727"   "0.2764"   "12.4255"   "5.8076"
 "2489"   "Patsy's"   "pizza"   "nyc"   "2.0"   "58"   "0.0690"   "0.1724"   "0.0000"   "0.4138"   "0.0000"   "0.0000"   "0.2069"   "1.9138"   "0.3621"   "12.7414"   "6.7773"
 "2490"   "Sea Catch Restaurant & Raw Bar"   "seafood"   "washington"   "3.0"   "38"   "0.0789"   "0.0263"   "0.0789"   "0.3421"   "0.0000"   "0.0000"   "0.1053"   "1.0526"   "0.3158"   "8.1842"   "6.1348"
 "2491"   "Volo Restaurant Wine Bar"   "american (new)"   "chicago"   "2.0"   "27"   "0.0000"   "0.0000"   "0.0000"   "0.3704"   "0.0000"   "0.0000"   "0.1481"   "1.7037"   "0.4444"   "12.1852"   "6.3896"
 "2492"   "The Little Owl"   "american (new)"   "nyc"   "3.0"   "24"   "0.0417"   "0.0833"   "0.0000"   "0.2917"   "0.0000"   "0.0000"   "0.0417"   "0.6250"   "0.0417"   "4.4167"   "6.7658"
 "2493"   "Coeur de Lion"   "american (traditional)"   "washington"   "3.0"   "38"   "0.0526"   "0.0000"   "0.0000"   "0.6316"   "0.0000"   "0.0000"   "0.1316"   "1.4737"   "0.2895"   "12.2632"   "6.5557"
 "2494"   "Amazing 66 Restaurant"   "chinese"   "nyc"   "2.0"   "218"   "0.0000"   "0.0092"   "0.0000"   "0.3716"   "0.0000"   "0.0000"   "0.0596"   "0.9312"   "0.2294"   "5.5826"   "5.9499"
