core,name,power,rating,url,series,brand,corename,rank,productname,l3cache,l2cache,freq,price,socket
2,Core i3-530,73W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M23272,Core i3,Intel,Clarkdale,204,Intel Core i3-530 Clarkdale Dual-Core 2.93 GHz LGA 1156 73W BX80616I3530 Desktop Processor Intel HD Graphics,4MB,,2.93 GHz,175,LGA 1156
2,Celeron E1400,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09663,Celeron,Intel,Allendale,203,Intel Celeron E1400 Allendale Dual-Core 2.0 GHz LGA 775 65W BX80557E1400 Processor,,512KB,2.0 GHz,60,LGA 775
None,i7-3770S,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIABRA4V53633,Core i7,Intel,,202,Intel Core i7-3770S Ivy Bridge Quad-Core 3.1GHz (3.9GHz Turbo) LGA 1155 65W CM8063701211900 Desktop Processor Intel HD Graphics 4000,8 MB shared cache,4 x 256 KB,,399.99,1155 / H2 / LGA1155
2,Pentium E5300,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09794,Pentium Dual-Core,Intel,Wolfdale,201,Intel Pentium E5300 Wolfdale Dual-Core 2.6 GHz LGA 775 65W BX80571E5300 Desktop Processor,,2MB,2.6 GHz,100,LGA 775
2,Pentium Dual-Core E6500,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09814,Pentium,Intel,Wolfdale,200,Intel Pentium Dual-Core E6500 Wolfdale Dual-Core 2.93 GHz LGA 775 65W BX80571E6500 Processor,,2MB,2.93 GHz,145,LGA 775
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6760,,,,199,HP Xeon E7-4820 2 GHz Processor Upgrade - Socket LGA-1567,,,,"1,123.70",None
2,Celeron G1820,53W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U90738,Celeron,Intel,Haswell,198,Intel Celeron G1820 Haswell Dual-Core 2.7 GHz LGA 1150 53W BX80646G1820 Desktop Processor Intel HD Graphics,2MB,2 x 256KB,2.7 GHz,47.3,LGA 1150
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3078,,,,197,Intel BX80646I34150 Core i3-4150 LGA 1150 3.5GHz CPU Processor w/ Heatsink,,,,254.03,None
4,Core i5-3340,77W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4TV2345,Core i5,Intel,Ivy Bridge,196,Intel Core i5-3340 Ivy Bridge Quad-Core 3.1GHz (3.3GHz Turbo) LGA 1155 77W BX80637I53340 Desktop Processor Intel HD Graphics,6MB,,3.1GHz (3.3GHz Turbo),265,LGA 1155
2,Core i3-6300T,35W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH4NY7867,Core i3,Intel,Skylake,195,Intel Core i3-6300T Skylake Dual-Core 3.3 GHz LGA 1151 35W BX80662I36300T Desktop Processor Intel HD Graphics 530,4MB,,3.3 GHz,161.71,LGA 1151
4,Core i5-750S,82W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M23196,Core i5,Intel,Lynnfield,194,Intel Core i5-750S Lynnfield Quad-Core 2.4 GHz LGA 1156 82W BX80605I5750S Desktop Processor,8MB,,2.4 GHz,255,LGA 1156
None,,,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3079,,,,193,AMD A6-5400K Trinity 3.6Ghz Socket FM2 Dual-Core CPU w/ Radeon HD 7540D,,,,55.81,FM2
4,Core i7-860S,82W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M22315,Core i7,Intel,Lynnfield,192,Intel Core i7-860S Lynnfield Quad-Core 2.53 GHz LGA 1156 82W BX80605I7860S Desktop Processor,8MB,,2.53 GHz,425,LGA 1156
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3086,,,,191,"Core i3-4160 Haswell Processor 3.6GHz 5.0GT/s 3MB LGA 1150 CPU, ",,,,164.49,LGA 1150
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3092,,,,190,"Intel Core i5-4440 Haswell Processor 3.1GHz 5.0GT/s 6MB LGA 1150 CPU, ",,,,249.63,LGA 1150
2,Core i3-4330,54W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G3SW1492,Core i3,Intel,Haswell,188,Intel Core i3-4330 Haswell Dual-Core 3.5 GHz LGA 1150 54W BX80646I34330 Desktop Processor Intel HD Graphics 4600,4MB,,3.5 GHz,164.01,LGA 1150
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G47N0945,,,,187,IBM 46W4371,,,,"2,011.45",None
2,Celeron E1200,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09717,Celeron Dual-Core,Intel,,186,Intel Celeron E1200 Dual-Core 1.6 GHz LGA 775 65W BX80557E1200 Processor,,512KB,1.6 GHz,65,LGA 775
2,Pentium E5200,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIABRA4T46885,Pentium Dual-Core,Intel,Wolfdale,185,Intel Pentium E5200 Wolfdale Dual-Core 2.5 GHz LGA 775 65W BX80571E5200 Desktop Processor,,2MB,2.5 GHz,99,LGA 775
2,Pentium G3440,53W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U90789,Pentium,Intel,Haswell,184,Intel Pentium G3440 Haswell Dual-Core 3.3 GHz LGA 1150 53W BX80646G3440 Desktop Processor Intel HD Graphics,3MB,2 x 256KB,3.3 GHz,89.29,LGA 1150
2,G3470 3MB,,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH3Z96275,Pentium,Intel,Haswell,183,Intel G3470 3MB Haswell Dual-Core 3.6 GHz LGA 1150 BX80646G3470 Desktop Processor,,,3.6 GHz,104.57,LGA 1150
4,Core 2 Quad Q8300,95W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M23214,Core 2 Quad,Intel,Yorkfield,182,Intel Core 2 Quad Q8300 Yorkfield Quad-Core 2.5 GHz LGA 775 95W BX80580Q8300 Desktop Processor,,4MB,2.5 GHz,219,LGA 775
None,Xeon 3.06,,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09667,Xeon,Intel,Prestonia,181,Intel Xeon 3.06 Prestonia 3.06 GHz Socket 604 BX80532KE3066D Processor,,512KB,3.06 GHz,65,604
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4M09598,,,,180,"AMD AD860KXBI44JA Athlon X4 860K Quad-Core Processor 3.7GHz Socket FM2+, OEM OEM",,,,108.55,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3077,,,,179,"Intel Core i3-6100 Skylake Processor 3.7GHz 8.0GT/s 3MB LGA 1151 CPU, ",,,,167.85,LGA 1151
16,Opteron 6274,115W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M3GE7010,AMD Opteron 6200 Series,HP,,178,HP Opteron 6274 2.2GHz Socket G34 115W 663373-B21 Server Processor,16MB,16 MB,2.2 GHz,863.95,G34
2,Core 2 Duo E8500,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M22695,Core 2 Duo,Intel,Wolfdale,177,Intel Core 2 Duo E8500 Wolfdale Dual-Core 3.16 GHz LGA 775 65W BX80570E8500 Processor,,6MB,3.16 GHz,255,LGA 775
2,Pentium G3450,53W,Rating + 4,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G3RH7890,Pentium,Intel,Haswell,176,Intel Pentium G3450 Haswell Dual-Core 3.4 GHz LGA 1150 53W BX80646G3450 Desktop Processor Intel HD Graphics,3MB,2 x 256KB,3.4 GHz,88.79,LGA 1150
2,Pentium G2140,55W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIABRA4T47768,Pentium Dual-Core,Intel,Ivy Bridge,175,Intel Pentium G2140 Ivy Bridge Dual-Core 3.3 GHz LGA 1155 55W BX80637G2140 Desktop Processor Intel HD Graphics,3MB,,3.3 GHz,100,LGA 1155
4,Core i7-960,130W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAA0S4W42535,Core i7,Intel,Bloomfield,174,Intel Core i7-960 Bloomfield Quad-Core 3.2 GHz LGA 1366 130W BX80601960 Desktop Processor,8MB,4 x 256KB,3.2 GHz,449,LGA 1366
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3071,,,,172,"AMD A10-7860K Quad-Core APU Godavari Processor 3.6GHz Socket FM2+, ",,,,197.62,FM2+
4,Core i5-4440S,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH3Z96226,Core i5,Intel,Haswell,171,Intel Core i5-4440S Haswell Quad-Core 2.8GHz (3.3GHz Turbo) LGA 1150 65W BX80646I54440S Desktop Processor Intel HD Graphics 4600,6MB,,2.8GHz (3.3GHz Turbo),194.9,LGA 1150
