"year","make","model","carline_class","carline_broad","cyl","disp","air_asp","trans_desc","gears","drive_desc","fuel_type","mpg_city","mpg_hwy","mpg_mix","ann_fuel","condition","lux","trans_broad"
2012,"Mini","mini cooper s","Minicompact Cars","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini cooper s convertible","Minicompact Cars","Cars",4,1.6,"Turbocharged","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",26,34,29,2044,"Used","Luxury","Automatic"
2012,"Mini","mini cooper s convertible","Minicompact Cars","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini john cooper works","Minicompact Cars","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",25,33,28,2115,"Used","Luxury","Manual"
2012,"Mini","mini john cooper works conv","Minicompact Cars","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",25,33,28,2115,"Used","Luxury","Manual"
2012,"Mitsubishi","eclipse spyder","Minicompact Cars","Cars",4,2.4,"Naturally Aspirated","Automated Manual",4,"Front Wheel Drive","Regular Gasoline",20,27,23,2414,"Used","Family","Automatic"
2012,"Mitsubishi","eclipse spyder","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automated Manual",5,"Front Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Family","Automatic"
2012,"Porsche","911 c4 gts","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 c4 gts","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 c4 gts cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 c4 gts cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",17,25,20,2963,"Used","Luxury","Manual"
2012,"Porsche","911 carrera","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,27,22,2696,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",18,24,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4 cabriolet","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4 cabriolet","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4 targa","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4 targa","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4s","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4s","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4s cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4s cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",17,25,20,2963,"Used","Luxury","Manual"
2012,"Porsche","911 carrera 4s targa","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"All Wheel Drive","Premium Gasoline",18,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera 4s targa","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",17,25,20,2963,"Used","Luxury","Manual"
2012,"Porsche","911 carrera cabriolet","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera cabriolet","Minicompact Cars","Cars",6,3.6,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera s","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,26,22,2696,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera s","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 carrera s cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 carrera s cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 gts","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,26,22,2696,"Used","Luxury","Automatic"
2012,"Porsche","911 gts","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 gts cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","911 gts cabriolet","Minicompact Cars","Cars",6,3.8,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Luxury","Manual"
2012,"Porsche","911 turbo cabriolet","Minicompact Cars","Cars",6,3.8,"Turbocharged","Automatic",7,"Rear Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Luxury","Automatic"
2012,"Porsche","911 turbo cabriolet","Minicompact Cars","Cars",6,3.8,"Turbocharged","Manual",6,"Rear Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Luxury","Manual"
2012,"Porsche","911 turbo coupe","Minicompact Cars","Cars",6,3.8,"Turbocharged","Automatic",7,"Rear Wheel Drive","Premium Gasoline",17,25,19,3117,"Used","Luxury","Automatic"
2012,"Porsche","911 turbo coupe","Minicompact Cars","Cars",6,3.8,"Turbocharged","Manual",6,"Rear Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Luxury","Manual"
2012,"Porsche","911 turbo s cabriolet","Minicompact Cars","Cars",6,3.8,"Turbocharged","Automatic",7,"Rear Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Luxury","Automatic"
