"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"795","Monkey Island 2 Special Edition",NA,385825,394589,8764,2.27,9.99,96,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","Mordheim City of the Damned",NA,100464,124552,24088,23.98,39.99,70,60,15.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",77,75,NA,NA,2015-11-19,75,NA,228
"797","Morphopolis",314020,324945,348592,23647,7.28,1.99,85,75,0.49,390691,252173,183,152,366319,15647,228796,12369,6832,2138,170,177,148,203,0.99,"",NA,70,NA,NA,2013-11-17,70,2,960
"798","Mount Blade Warband",NA,2200458,2259778,59320,2.7,19.99,96,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paradox Interactive",78,87,81,"RPG",2010-03-30,87,67,2288
"799","Mount Blade Warband",NA,2200458,2259778,59320,2.7,19.99,96,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paradox Interactive",78,87,68,"RPG",2010-03-30,87,67,2288
"800","Mount Blade With Fire and Sword",NA,1172258,1194362,22104,1.89,9.99,85,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","Mount Your Friends",296470,488795,521209,32414,6.63,4.99,95,60,1.99,541920,472942,179,99,537828,18955,468278,17689,18395,3508,175,53,97,19,4.99,"",NA,73,NA,NA,2014-07-29,73,NA,706
"802","Mountain",313340,285861,291484,5623,1.97,0.99,86,0,0.99,319843,211422,754,46,291338,13956,192357,11342,3854,1605,534,175,48,8,0.99,"",NA,53,NA,NA,2014-07-01,53,44,734
"803","Mountain Crime Requital",NA,32319,37469,5150,15.93,2.99,86,60,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2012-01-14,NA,NA,1633
"804","Moustache Mountain",457520,5261,11369,6108,116.1,1.99,71,50,0.99,10655,6730,216,207,9986,2584,5606,1936,538,744,146,2,176,2,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","Move or Die",323850,114495,143158,28663,25.03,14.99,85,40,8.99,179082,164502,273,131,160648,10365,147509,9932,18044,3474,281,55,139,32,14.99,"",NA,NA,NA,NA,2015-01-16,NA,NA,535
"806","Mr Robot",NA,36327,45221,8894,24.48,9.99,79,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83,77,NA,NA,2007-01-10,77,14.5,3463
"807","Ms Splosion Man",NA,51359,56849,5490,10.69,9.99,78,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twisted Pixel Games",NA,78,90,"Action",2013-04-03,78,9.5,1188
"808","Multiwinia",1530,511845,577541,65696,12.84,9.99,85,85,1.49,591271,123937,108,16,601947,20051,126311,9191,1054,1459,181,1,16,2,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","Munin",281750,38081,48839,10758,28.25,9.99,81,90,0.99,46733,23180,170,153,44323,5445,20322,3687,1028,1005,203,57,127,71,9.99,"",68,78,NA,NA,2014-06-10,78,NA,755
"810","My Bones",389700,9019,17313,8294,91.96,1.99,51,75,0.49,20002,13646,225,239,15767,3248,10862,2695,527,1031,236,1,240,1,0.49,"",NA,NA,NA,NA,2015-08-03,NA,0.25,336
"811","Mystery Masters Psycho Train Deluxe Edition",NA,13278,19122,5844,44.01,9.99,71,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","Mystery PI The Lottery Ticket",NA,22798,29716,6918,30.34,4.99,42,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PopCap",NA,NA,NA,NA,2007-10-16,NA,NA,3184
"813","Mystery PI The New York Fortune",NA,21546,26874,5328,24.73,4.99,55,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2009-01-28,NA,NA,2714
"814","Mystery PI The Vegas Heist",NA,23049,28941,5892,25.56,4.99,70,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PopCap",NA,NA,NA,NA,2009-01-27,NA,NA,2715
"815","Napoleon Total War",NA,2147345,2172694,25349,1.18,19.99,93,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sega",81,79,89,"Strategy",2010-02-23,79,39.5,2323
"816","NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst",NA,486290,493559,7269,1.49,29.99,91,75,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817","NARUTO SHIPPUDEN Ultimate Ninja STORM 4",NA,103721,128687,24966,24.07,49.99,73,50,24.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution",NA,277594,283732,6138,2.21,29.99,78,75,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","Natural Selection 2",4920,1589401,1635722,46321,2.91,9.99,84,50,4.99,1638285,1150950,1023,157,1626097,32905,1139074,27560,12088,2844,1019,177,165,76,9.99,"",80,84,80,"Shooter",2012-11-05,84,NA,1337
"820","Naval Action",311310,75912,84499,8587,11.31,39.99,75,25,29.99,81690,80381,5689,840,88295,7685,87244,7639,13665,3023,4488,1015,1093,271,36.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","NBA 2K16",370240,188904,276755,87851,46.51,59.99,46,80,11.99,410319,309749,5737,1606,416423,16682,314989,14511,102660,8287,5397,621,1630,254,49.99,"",NA,66,90,"Sports",2015-09-29,66,NA,279
"822","Necronomicon The Dawning of Darkness",NA,21796,27908,6112,28.04,4.99,32,60,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","Need for Speed Hot Pursuit",NA,747098,771864,24766,3.31,19.99,81,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic Arts",86,67,90,"Racing",2010-11-30,67,NA,2043
"824","Need for Speed Hot Pursuit",NA,747098,771864,24766,3.31,19.99,81,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electronic Arts",86,67,90,"Racing",2010-11-08,67,NA,2065
"825","Neighbours from Hell",260750,123263,131012,7749,6.29,9.99,95,75,2.49,127676,45425,92,42,130340,9337,44498,5456,1051,838,97,120,48,140,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","NEKOPARA Vol 0",NA,177630,214737,37107,20.89,2.99,94,60,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,76,NA,NA,2015-08-17,76,NA,322
"827","NEKOPARA Vol 1",NA,220221,246779,26558,12.06,9.99,95,60,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,71,NA,NA,2014-12-30,71,8,552
"828","NEKOPARA Vol 2",NA,91195,135922,44727,49.05,9.99,98,33,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","Neon Drive",433910,2505,8010,5505,219.76,9.99,90,33,6.69,8225,7664,297,90,4730,1779,3504,1531,0,0,198,0,78,0,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","Neon Hardcorps",454200,20543,44446,23903,116.36,0.99,45,50,0.99,68978,35891,192,203,62192,6450,33461,4731,1927,1135,203,77,211,113,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831","Neon Space",468490,6513,12661,6148,94.4,0.99,88,51,0.49,24114,11403,181,157,22249,3858,7883,2296,701,684,173,34,120,54,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","Nethergate Resurrection",NA,49856,60725,10869,21.8,4.99,89,70,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2007-08-09,NA,NA,3252
"833","New kind of adventure",375510,113993,141349,27356,24,0.99,41,51,0.49,129732,79447,209,169,131216,9368,80411,7334,1402,968,191,105,162,135,0.99,"",NA,NA,NA,NA,2015-06-04,NA,NA,396
"834","Nightmares from the Deep 3 Davy Jones",NA,61882,67186,5304,8.57,9.99,96,60,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","Nihilumbra",252670,155332,160988,5656,3.64,7.99,91,70,2.39,174409,98701,186,131,162575,10427,88295,7685,1575,1257,195,44,136,52,6.99,"",75,62,NA,NA,2013-10-25,62,2.5,983
"836","No Pineapple Left Behind",350090,5511,11369,5858,106.3,9.99,71,25,7.49,8599,2430,310,186,7708,2271,1577,1027,0,0,56,0,67,0,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","No Time To Explain Remastered",368730,864099,874969,10870,1.26,14.99,85,75,3.74,851295,187868,114,55,869109,24084,177291,10889,7358,2218,139,77,61,21,14.99,"",NA,NA,NA,NA,2015-07-17,NA,NA,353
"838","NOBUNAGAS AMBITION Sphere of Influence",NA,23049,28424,5375,23.32,59.99,83,50,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839","NORTH",461890,6513,13178,6665,102.33,1.99,50,15,1.69,15515,10468,180,196,11913,2823,6657,2110,876,765,200,235,198,341,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840","NOT A HERO",274270,123263,139281,16018,12.99,12.99,87,75,3.24,142817,93841,197,93,135771,9529,88645,7700,3504,1531,163,36,67,25,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","NotGTAV",369580,79419,88892,9473,11.93,2.99,88,75,0.74,91410,69352,99,21,97755,8086,74805,7074,1927,1135,98,36,24,26,2.99,"",NA,70,NA,NA,2015-07-02,70,0.716666666666667,368
"842","Nuclear Shot",399580,38582,50647,12065,31.27,0.99,53,85,0.59,56828,7290,18,11,61316,6404,6832,2138,538,744,12,4,8,4,0.99,"",NA,NA,NA,NA,2015-09-07,NA,NA,301
"843","Nyan Cat Lost In Space",NA,20042,26616,6574,32.8,2.99,94,50,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-12-04,NA,NA,213
"844","Nyctophobia",378100,100464,112149,11685,11.63,1.99,46,0,1.99,152351,91597,221,211,150837,10044,91098,7806,4380,1711,214,107,213,126,1.99,"",NA,NA,NA,NA,2015-08-25,NA,NA,314
"845","Obscure",254460,28310,37210,8900,31.44,6.99,92,0,6.99,37574,25797,299,79,40293,5192,25227,4108,1051,838,239,159,101,258,3.49,"DreamCatcher Interactive",63,80,76,"Action, Adventure",2005-04-06,80,NA,4107
"846","Obscure 2",254480,23299,29458,6159,26.43,9.99,82,0,9.99,30283,10842,174,110,31534,4593,10686,2674,1100,1522,196,13,113,15,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847","Obulis",11330,127272,140315,13043,10.25,4.99,84,80,0.99,146182,53463,165,22,136997,9572,52732,5939,1004,1390,107,199,23,397,4.99,"",NA,72,NA,NA,2009-03-19,72,NA,2664
"848","Oceanhorn Monster of Uncharted Seas",NA,149068,155820,6752,4.53,14.99,87,60,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",73,67,NA,NA,2015-03-17,67,9.5,475
"849","Octodad Dadliest Catch",NA,443448,459449,16001,3.61,14.99,92,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",69,76,78,"Adventure",2014-01-30,76,2,886
"850","OddPlanet",465930,3006,9044,6038,200.86,6.99,88,0,6.99,14020,2373,45,61,11212,2739,1577,1027,525,726,5,4,6,4,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","Oddworld Abes Exoddus",NA,357264,374950,17686,4.95,2.99,95,75,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT Interactive",NA,87,85,"Platformer",1999-12-09,87,14.5,6052
"852","Oddworld Abes Exoddus",NA,357264,374950,17686,4.95,2.99,95,75,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT Interactive",NA,87,78,"Adventure",1998-11-30,87,14.5,6426
"853","Oddworld Abes Oddysee",NA,973583,995129,21546,2.21,2.99,89,75,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT Interactive",NA,86,75,"Adventure",1997-10-31,86,13.5,6821
"854","Oddworld Munchs Oddysee",NA,193914,209310,15396,7.94,4.99,68,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oddworld Inhabitants",NA,64,40,"Platformer",2010-12-20,64,12.5,2023
"855","Oddworld Munchs Oddysee",NA,193914,209310,15396,7.94,4.99,68,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oddworld Inhabitants",NA,64,74,"Adventure",2001-11-09,64,12.5,5351
"856","Oddworld Strangers Wrath HD",NA,218467,232308,13841,6.34,9.99,84,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,79,75,"Action, Adventure",2011-12-22,79,NA,1656
"857","Offworld Trading Company",271240,111989,126619,14630,13.06,39.99,77,50,19.99,150108,137583,786,302,142603,9766,130690,9349,11212,2739,624,288,298,199,39.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858","OlliOlli2 Welcome to Olliwood",NA,49856,58658,8802,17.65,14.99,88,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",82,52,NA,NA,2015-08-11,52,NA,328
"859","On the RainSlick Precipice of Darkness Episode One",NA,234251,241869,7618,3.25,7.99,90,0,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860","On the RainSlick Precipice of Darkness Episode Two",NA,206441,211894,5453,2.64,7.99,86,0,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861","ONE PIECE PIRATE WARRIORS 3",331600,124015,156595,32580,26.27,49.99,83,75,12.49,163567,147864,1454,657,154516,10166,140326,9688,13314,2984,1523,242,641,65,49.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862","Orcs Must Die 2",NA,2216994,2225410,8416,0.38,24.99,96,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83,79,90,"Strategy",2012-07-30,79,7.5,1435
"863","Original War",235320,68145,75455,7310,10.73,4.99,92,80,0.99,80194,33648,682,101,69900,6838,31709,4606,771,871,502,58,88,101,4.49,"Virgin Interactive",61,88,45,"Strategy",2002-12-02,88,NA,4963
"864","Out There Somewhere",263980,568967,593046,24079,4.23,14.99,93,90,0.49,637256,387139,142,81,615787,20280,371925,15766,10511,2652,133,92,90,71,0.99,"",NA,85,NA,NA,2014-05-20,85,1,776
"865","Outlast",238320,1324333,1385583,61250,4.62,19.99,96,75,4.99,1403310,1072438,320,153,1398703,30528,1052881,26500,26979,4248,305,61,144,24,19.99,"",80,84,78,"Action, Adventure",2013-09-04,84,5,1034
"866","Outrage",457820,4509,69253,64744,1435.88,3.99,69,55,1.79,77017,44677,220,211,66396,6664,36264,4925,1752,1082,233,99,216,131,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","Over the Dream",NA,26807,36435,9628,35.92,3.99,93,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868","Overgrowth",25000,90944,98970,8026,8.83,29.99,76,15,25.49,103187,93093,415,188,101084,8223,92499,7866,2978,1411,491,96,195,90,27.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","Overlord II",12810,946776,955851,9075,0.96,9.99,87,75,2.49,961773,362277,680,212,969141,25428,378582,15907,4380,1711,567,318,204,338,8.99,"Codemasters",79,81,60,"Adventure",2009-06-23,81,17,2568
"870","Overlord II",12810,946776,955851,9075,0.96,9.99,87,75,2.49,961773,362277,680,212,969141,25428,378582,15907,4380,1711,567,318,204,338,8.99,"Codemasters",79,81,63,"Adventure",2009-06-23,81,17,2568
"871","Oxenfree",388880,29813,60725,30912,103.69,19.99,94,50,9.99,68792,52715,396,278,69375,6812,52206,5910,2628,1326,336,94,266,87,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","Pacific Storm",11250,45096,50131,5035,11.17,7.99,65,80,1.59,51220,19067,96,38,51155,5850,17344,3406,538,744,116,1,26,1,7.99,"cdv Software",67,58,80,"Strategy",2006-10-11,58,NA,3554
"873","PACMAN and the Ghostly Adventures",NA,6012,13437,7425,123.5,19.99,80,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","Painkiller Hell Damnation",NA,488294,499244,10950,2.24,19.99,77,90,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nordic Games Publishing",64,65,50,"Shooter",2012-11-07,65,5,1335
"875","Paint the Town Red",337320,90443,102329,11886,13.14,9.99,93,20,7.99,111225,110104,681,289,111595,8640,110544,8599,18920,3558,524,114,244,30,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876","Pajama Sam 3 You Are What You Eat From Your Head To Your Feet",NA,20543,29458,8915,43.4,6.99,100,60,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877","Pajama Sam 4 Life Is Rough When You Lose Your Stuff",NA,14781,21189,6408,43.35,6.99,36,60,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","Pajama Sam in No Need to Hide When Its Dark Outside",NA,42340,49614,7274,17.18,6.99,97,60,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879","Pajama Sams Lost Found",NA,17036,23256,6220,36.51,4.99,81,80,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880","Panzer Corps",268400,38081,52715,14634,38.43,19.99,93,50,9.99,45986,41312,6552,1548,43272,5380,39593,5146,3854,1605,6444,1017,1119,1345,19.99,"_No Company, Slitherine",80,75,NA,NA,2011-07-11,75,NA,1820
"881","Papers Please",NA,1426552,1470341,43789,3.07,9.99,96,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",85,85,87,"Simulation",2013-08-08,85,4.5,1061
"882","Paradise Island VR MMO",NA,204437,209827,5390,2.64,0.99,56,48,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-12-23,NA,NA,194
"883","Paranormal Psychosis",407750,0,13437,13437,0,0.99,32,40,0.59,69726,48229,222,209,63769,6531,41344,5259,7008,2165,223,153,208,167,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","Parkitect",453090,26055,34109,8054,30.91,17.99,89,0,17.99,48229,44864,462,178,42045,5303,39067,5112,5781,1966,458,134,168,112,17.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","PARTICLE MACE",295690,150071,180368,30297,20.19,9.99,90,90,0.99,191233,122628,165,148,182897,11059,111245,8626,1577,1027,162,101,150,101,9.99,"",NA,NA,NA,NA,2015-01-22,NA,NA,529
"886","Party Hard",356570,127522,181402,53880,42.25,12.89,87,75,3.22,226377,181139,343,218,221263,12163,176940,10878,17344,3406,305,90,196,53,12.89,"",66,77,NA,NA,2015-08-25,77,6.5,314
"887","Pathologic Classic HD",384110,18289,24290,6001,32.81,12.99,90,50,6.49,26731,19441,323,82,28030,4330,17869,3457,1076,1052,405,456,119,724,12.99,"",74,83,NA,NA,2015-10-29,83,NA,249
"888","Patrician III",33570,128775,144450,15675,12.17,4.99,76,0,4.99,136835,60006,575,33,136472,9554,60440,6358,1285,1124,375,520,26,694,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","PAYDAY 2",218620,6352593,6896394,543801,8.56,19.99,78,75,4.99,6721195,6237972,3193,1049,6723726,66389,6211125,63859,446905,17281,3214,343,1067,91,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","PAYDAY The Heist",NA,4105535,4165537,60002,1.46,14.99,93,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","Peggle Nights",3540,182139,197682,15543,8.53,4.99,93,75,1.24,196280,121881,816,204,194985,11419,115099,8774,2277,1234,1027,180,211,103,4.99,"",76,84,84,"Puzzle",2009-11-23,84,3.5,2415
"892","Peggle Nights",3540,182139,197682,15543,8.53,4.99,93,75,1.24,196280,121881,816,204,194985,11419,115099,8774,2277,1234,1027,180,211,103,4.99,"",76,84,84,"Puzzle",2009-03-26,84,3.5,2657
"893","Penumbra Black Plague",NA,303399,324043,20644,6.8,9.99,95,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paradox Interactive",78,87,77,"Action",2008-02-13,87,5,3064
"894","Penumbra Overture",NA,447958,457640,9682,2.16,9.99,93,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strategy First, Got Game Entertainment",73,78,70,"Adventure",2007-05-08,78,6,3345
"895","PERFECT ANGLE The puzzle game based on optical illusions",NA,60880,70286,9406,15.45,6.99,43,30,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-12-22,NA,NA,195
"896","Perfect Golf",288140,11775,19639,7864,66.79,34.99,66,0,34.99,17385,17011,4184,250,14716,3137,14190,3081,1577,1027,1434,139,258,177,31.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","Pillars of Eternity",291650,714027,771864,57837,8.1,44.99,88,60,17.99,801197,734649,2433,1112,775383,22751,711089,21790,35213,4853,2433,450,1132,127,16.79,"",89,84,90,"RPG",2015-03-26,84,39,466
"898","Pixel Puzzles 2 Anime",NA,33070,38761,5691,17.21,9.99,83,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-03-27,NA,NA,465
"899","Pizza Frenzy",3430,24051,29458,5407,22.48,4.99,87,75,1.24,29349,11590,222,24,27680,4303,12263,2864,550,1076,153,7,39,7,4.99,"PopCap",NA,NA,NA,NA,2005-02-02,NA,5,4170
"900","Plague Inc Evolved",NA,837291,915798,78507,9.38,14.99,94,40,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,77,NA,NA,2014-02-20,77,0.65,865
"901","Planetary Annihilation TITANS",NA,242518,279339,36821,15.18,39.99,76,80,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,57,NA,NA,2015-08-18,57,NA,321
"902","Plantera",421040,41338,46771,5433,13.14,2.99,87,40,1.79,67670,56641,663,149,54659,6047,51330,5860,5256,1875,882,306,181,28,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","Plants vs Zombies Game of the Year",NA,1068286,1094358,26072,2.44,4.99,96,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","Please Dont Touch Anything",NA,105726,168223,62497,59.11,4.99,84,80,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,83,NA,NA,2015-03-26,83,0.25,466
"905","Poker Night 2",234710,657156,665142,7986,1.22,4.99,84,75,1.24,691841,527153,419,198,689716,21460,511375,18484,9635,2539,396,147,192,49,4.99,"Telltale Games",75,69,NA,NA,2013-04-26,69,5,1165
"906","Poker Night at the Inventory",31280,989116,1015026,25910,2.62,4.99,85,75,1.24,1010750,718386,294,169,1022048,26111,714418,21840,5431,1906,273,75,171,51,4.99,"",71,70,80,"Card",2010-11-22,70,2.5,2051
"907","Polarity",315430,485288,493817,8529,1.76,14.99,82,90,0.99,528835,308066,135,70,508747,18436,292039,13973,4905,1811,116,90,62,71,9.99,"",NA,NA,NA,NA,2014-11-07,NA,1,605
"908","Poly Bridge",367450,146313,164089,17776,12.15,11.99,89,25,8.99,213665,207683,498,255,198488,11521,192182,11336,17869,3457,464,126,252,34,11.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","Pony Island",405640,79670,108531,28861,36.23,4.99,95,40,2.99,129545,106552,198,148,124033,9108,101609,8244,3854,1605,183,111,145,108,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","Port Royale 3",205610,182390,196648,14258,7.82,14.99,66,75,4.99,184690,142630,935,234,185349,11133,136997,9572,3153,1452,933,472,234,314,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","Portal",400,9160101,9327497,167396,1.83,9.99,98,80,1.99,9298448,6578378,320,178,9277445,77676,6540829,65499,57637,6209,316,145,176,38,9.99,"Electronic Arts",90,93,82,"Shooter",2007-10-09,93,3,3191
"912","Portal 2",620,7946504,8230038,283534,3.57,19.99,98,75,4.99,8207503,6865695,977,586,8147656,72921,6782414,66672,162575,10427,988,153,589,56,19.99,"Valve Software",95,88,95,"Shooter",2011-04-19,88,8.5,1903
"913","Portal 2 The Final Hours",NA,133285,147809,14524,10.9,1.99,83,0,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
