"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"659","Intergalactic Bubbles","137,544 ±11,480","159,696 ±12,563","22,152","16.11%","$1.99","75% ($0.49)","82% (N/A)"
"433","Enter the Gungeon","342,733 ±18,116","364,872 ±18,984","22,139","6.46%","$14.99","20% ($11.99)","89% (84%)"
"161","Mount & Blade: With Fire and Sword","1,172,258 ±33,459","1,194,362 ±34,301","22,104","1.89%","$9.99","75% ($2.49)","85% (68%)"
"304","Worms Ultimate Mayhem","572,976 ±23,415","594,855 ±24,230","21,879","3.82%","$14.99","85% ($2.24)","86% (66%)"
"59","Half-Life: Source","2,816,527 ±51,728","2,838,354 ±52,741","21,827","0.77%","$9.99","80% ($1.99)","81% (N/A)"
"1120","Super Space Pug","20,293 ±4,410","42,120 ±6,453","21,827","107.56%","$0.99","51% ($0.49)","57% (N/A)"
"446","A Story About My Uncle","323,442 ±17,599","345,233 ±18,466","21,791","6.74%","$12.99","80% ($2.59)","92% (73%)"
"471","Styx: Master of Shadows","288,868 ±16,633","310,606 ±17,517","21,738","7.53%","$29.99","75% ($7.49)","83% (N/A)"
"1090","The Falling Sun","25,554 ±4,949","47,288 ±6,837","21,734","85.05%","$4.99","90% ($0.49)","51% (N/A)"
"716","The Odyssey","115,998 ±10,543","137,731 ±11,667","21,733","18.74%","$4.99","90% ($0.49)","60% (N/A)"
"205","VVVVVV","897,169 ±29,284","918,899 ±30,100","21,730","2.42%","$4.99","75% ($1.24)","96% (81%)"
"637","Fragile Ball","153,328 ±12,120","174,942 ±13,149","21,614","14.1%","$1.99","75% ($0.49)","71% (N/A)"
"189","Oddworld: Abe's Oddysee","973,583 ±30,502","995,129 ±31,320","21,546","2.21%","$2.99","75% ($0.74)","89% (N/A)"
"1029","Space Pilgrim Episode III: Delta Pavonis","35,576 ±5,839","57,108 ±7,514","21,532","60.52%","$1.99","75% ($0.49)","86% (N/A)"
"152","Monaco","1,256,689 ±34,639","1,278,086 ±35,479","21,397","1.7%","$14.99","86% ($2.09)","91% (83%)"
"477","Call of Duty 2","277,844 ±16,312","299,236 ±17,193","21,392","7.7%","$19.99","50% ($9.99)","90% (86%)"
"564","Sparkle 2 Evo","194,165 ±13,638","215,512 ±14,593","21,347","10.99%","$4.99","90% ($0.49)","73% (N/A)"
"168","Assassin's Creed II","1,113,883 ±32,619","1,135,186 ±33,444","21,303","1.91%","$19.99","50% ($9.99)","82% (86%)"
"686","Tinboy","125,769 ±10,977","147,034 ±12,055","21,265","16.91%","$0.99","51% ($0.49)","65% (N/A)"
"458","Scania Truck Driving Simulator","306,405 ±17,130","327,403 ±17,983","20,998","6.85%","$11.99","75% ($2.99)","76% (N/A)"
"624","Among the Sleep","158,088 ±12,307","179,076 ±13,303","20,988","13.28%","$14.99","50% ($7.49)","86% (66%)"
"542","Trucks & Trailers","214,959 ±14,350","235,926 ±15,268","20,967","9.75%","$6.99","75% ($1.74)","63% (N/A)"
"635","Freedom Force","154,831 ±12,179","175,717 ±13,178","20,886","13.49%","$4.99","75% ($1.24)","67% (90%)"
"722","The Jackbox Party Pack","113,492 ±10,428","134,372 ±11,524","20,880","18.4%","$24.99","65% ($8.74)","91% (N/A)"
"528","Bus Driver","226,735 ±14,737","247,554 ±15,639","20,819","9.18%","$9.99","75% ($2.49)","67% (61%)"
"259","Little Inferno","728,308 ±26,392","749,124 ±27,185","20,816","2.86%","$9.99","50% ($4.99)","93% (68%)"
"685","Victoria: Revolutions","126,771 ±11,021","147,550 ±12,076","20,779","16.39%","$9.99","80% ($1.99)","68% (N/A)"
"543","Memoria","214,458 ±14,333","235,151 ±15,243","20,693","9.65%","$19.99","90% ($4.99)","92% (79%)"
"460","Penumbra: Black Plague","303,399 ±17,045","324,043 ±17,891","20,644","6.8%","$9.99","80% ($1.99)","95% (78%)"
"1147","Star Drifter","15,533 ±3,858","36,177 ±5,980","20,644","132.9%","$0.99","51% ($0.49)","45% (N/A)"
"266","Gunpoint","697,242 ±25,824","717,857 ±26,613","20,615","2.96%","$9.99","75% ($2.49)","97% (83%)"
"1235","Freebie","4,008 ±1,960","24,548 ±4,926","20,540","512.48%","$0.99","40% ($0.59)","83% (N/A)"
"938","Incitement 3","52,863 ±7,118","73,387 ±8,517","20,524","38.82%","$8.99","90% ($0.89)","76% (N/A)"
"803","Clergy Splode","83,679 ±8,955","104,138 ±10,146","20,459","24.45%","$0.99","51% ($0.49)","49% (N/A)"
"729","Star Chronicles: Delta Quadrant","107,730 ±10,160","128,170 ±11,255","20,440","18.97%","$0.99","51% ($0.49)","60% (N/A)"
"322","Back to the Future: Ep 1 - It's About Time","541,909 ±22,772","562,295 ±23,559","20,386","3.76%","$19.99","75% ($4.99)","90% (74%)"
"475","Deadpool","282,855 ±16,459","303,112 ±17,304","20,257","7.16%","$39.99","50% ($19.99)","90% (63%)"
"333","Vampire: The Masquerade - Bloodlines","504,329 ±21,970","524,568 ±22,756","20,239","4.01%","$19.99","75% ($4.99)","94% (80%)"
"908","Axiom Verge","59,627 ±7,559","79,848 ±8,884","20,221","33.91%","$19.99","40% ($11.99)","95% (80%)"
"604","60 Seconds!","170,364 ±12,776","190,446 ±13,719","20,082","11.79%","$9.99","50% ($4.99)","78% (N/A)"
"747","Aperture Tag: The Paint Gun Testing Initiative","103,471 ±9,957","123,519 ±11,049","20,048","19.38%","$4.99","80% ($0.99)","76% (N/A)"
"513","Terra Incognita ~ Chapter One: The Descendant","247,279 ±15,390","267,193 ±16,247","19,914","8.05%","$0.99","51% ($0.49)","75% (N/A)"
"415","Sniper Elite","370,292 ±18,829","390,196 ±19,630","19,904","5.38%","$9.99","70% ($2.99)","78% (76%)"
"1268","Drunk Wizards","0 ±0","19,897 ±4,435","19,897","0%","$7.99","0% ($7.99)","N/A (N/A)"
"715","Stonehearth","119,004 ±10,678","138,765 ±11,711","19,761","16.61%","$24.99","20% ($19.99)","86% (N/A)"
"947","Day of the Tentacle Remastered","52,111 ±7,067","71,837 ±8,427","19,726","37.85%","$14.99","40% ($8.99)","98% (86%)"
"606","Hacknet","166,355 ±12,624","186,053 ±13,559","19,698","11.84%","$9.99","50% ($4.99)","92% (82%)"
"215","Anomaly Warzone Earth","855,079 ±28,591","874,711 ±29,369","19,632","2.3%","$9.99","80% ($1.99)","89% (80%)"
"381","Reign Of Kings","423,656 ±20,138","443,169 ±20,919","19,513","4.61%","$19.99","75% ($4.99)","61% (N/A)"
"689","An Alternative Reality: The Football Manager Documentary","126,771 ±11,021","146,258 ±12,023","19,487","15.37%","$3.99","% ($0)","96% (N/A)"
"478","Stronghold Crusader 2","279,097 ±16,349","298,461 ±17,171","19,364","6.94%","$49.99","85% ($7.49)","59% (65%)"
"555","Transformers: War for Cybertron","203,435 ±13,960","222,747 ±14,836","19,312","9.49%","$19.99","75% ($4.99)","89% (75%)"
"463","TrackMania Stadium","301,645 ±16,996","320,942 ±17,805","19,297","6.4%","$9.99","50% ($4.99)","90% (N/A)"
"572","Bloody Trapland","193,163 ±13,603","212,411 ±14,488","19,248","9.96%","$9.99","80% ($1.99)","85% (N/A)"
"519","LEGO Batman 3: Beyond Gotham","242,268 ±15,233","261,508 ±16,074","19,240","7.94%","$29.99","75% ($7.49)","86% (N/A)"
"1184","Cyborg Detonator","10,773 ±3,213","29,975 ±5,444","19,202","178.24%","$3.99","87% ($0.51)","56% (N/A)"
"631","Assassin's Creed Syndicate","157,587 ±12,287","176,751 ±13,216","19,164","12.16%","$39.99","35% ($25.99)","72% (74%)"
"308","METAL SLUG 3","568,717 ±23,328","587,878 ±24,088","19,161","3.37%","$7.99","50% ($3.99)","89% (N/A)"
"466","Stronghold 2","296,133 ±16,840","315,257 ±17,647","19,124","6.46%","$5.99","75% ($1.49)","93% (81%)"
"467","Stronghold Legends","296,133 ±16,840","315,257 ±17,647","19,124","6.46%","$14.99","75% ($1.49)","91% (N/A)"
"506","Eets","251,538 ±15,522","270,553 ±16,349","19,015","7.56%","$9.99","% ($0)","N/A (81%)"
"150","POSTAL 2","1,278,986 ±34,944","1,297,983 ±35,753","18,997","1.49%","$9.99","90% ($0.99)","N/A (59%)"
"955","Space Pilgrim Episode Two: Epsilon Indi","51,610 ±7,033","70,545 ±8,351","18,935","36.69%","$1.99","75% ($0.49)","88% (N/A)"
"671","Hyperdimension Neptunia Re;Birth2 Sisters Generation","133,285 ±11,301","152,202 ±12,265","18,917","14.19%","$29.99","80% ($5.99)","92% (N/A)"
"616","Transformers: Fall of Cybertron","163,600 ±12,519","182,436 ±13,427","18,836","11.51%","$49.99","75% ($12.49)","91% (N/A)"
"816","INK","81,173 ±8,820","100,003 ±9,942","18,830","23.2%","$4.99","75% ($1.24)","89% (68%)"
"621","Assassin's Creed Rogue","162,096 ±12,462","180,885 ±13,370","18,789","11.59%","$29.99","45% ($16.49)","83% (74%)"
"668","GooCubelets 2","137,293 ±11,469","156,078 ±12,420","18,785","13.68%","$1.99","87% ($0.49)","72% (N/A)"
"426","Victoria II","359,268 ±18,547","378,050 ±19,323","18,782","5.23%","$19.99","75% ($4.99)","89% (75%)"
"692","A grande bagunÃ§a espacial - The big space mess","127,272 ±11,043","146,000 ±12,012","18,728","14.71%","$0.99","0% ($0.99)","85% (N/A)"
"224","LEGO MARVEL Super Heroes","808,730 ±27,807","827,422 ±28,567","18,692","2.31%","$19.99","75% ($4.99)","93% (78%)"
"966","Ben and Ed","50,608 ±6,964","69,253 ±8,274","18,645","36.84%","$9.99","50% ($4.99)","77% (N/A)"
"1165","Super Blue Fighter","15,032 ±3,795","33,593 ±5,763","18,561","123.48%","$0.99","10% ($0.89)","70% (N/A)"
"331","Puzzle Agent","512,095 ±22,138","530,511 ±22,885","18,416","3.6%","$4.99","75% ($1.24)","88% (70%)"
"674","Freedom Force vs. the 3rd Reich","132,784 ±11,279","151,168 ±12,223","18,384","13.85%","$4.99","75% ($1.24)","86% (N/A)"
"445","Sunless Sea","327,200 ±17,701","345,491 ±18,473","18,291","5.59%","$18.99","50% ($9.49)","82% (81%)"
"470","Godus Wars","292,626 ±16,740","310,864 ±17,524","18,238","6.23%","$14.99","75% ($3.74)","19% (N/A)"
"218","Alien: Isolation","834,786 ±28,251","853,004 ±29,004","18,218","2.18%","$39.99","75% ($12.49)","92% (81%)"
"735","Layers of Fear","108,983 ±10,219","127,136 ±11,210","18,153","16.66%","$19.99","50% ($9.99)","93% (72%)"
"636","You Need A Budget 4 (YNAB)","157,336 ±12,278","175,459 ±13,168","18,123","11.52%","$59.99","0% ($59.99)","91% (N/A)"
"372","Dead Rising 2","442,947 ±20,591","460,999 ±21,335","18,052","4.08%","$19.99","70% ($5.99)","N/A (78%)"
"179","The Walking Dead: Season Two","1,043,232 ±31,571","1,061,281 ±32,341","18,049","1.73%","$24.99","75% ($6.24)","96% (N/A)"
"469","Chaos on Deponia","293,878 ±16,776","311,898 ±17,553","18,020","6.13%","$19.99","85% ($2.99)","91% (78%)"
"268","Guacamelee! Gold Edition","695,237 ±25,787","713,206 ±26,526","17,969","2.58%","$14.99","67% ($4.94)","94% (88%)"
"773","Dead Horde","94,452 ±9,514","112,407 ±10,541","17,955","19.01%","$9.99","80% ($1.99)","35% (N/A)"
"921","Magma Tsunami","59,377 ±7,543","77,264 ±8,739","17,887","30.12%","$0.99","0% ($0.99)","80% (N/A)"
"257","Dragon Age: Origins","733,068 ±26,478","750,933 ±27,217","17,865","2.44%","$19.99","75% ($4.99)","93% (91%)"
"653","Poly Bridge","146,313 ±11,840","164,089 ±12,734","17,776","12.15%","$11.99","25% ($8.99)","89% (73%)"
"1033","BADLAND: Game of the Year Edition","38,833 ±6,100","56,591 ±7,480","17,758","45.73%","$9.99","80% ($2.39)","88% (79%)"
"588","METAL SLUG X","185,897 ±13,345","203,625 ±14,185","17,728","9.54%","$7.99","50% ($3.99)","93% (N/A)"
"275","Frozen Synapse","670,935 ±25,333","688,657 ±26,067","17,722","2.64%","$24.99","85% ($3.74)","82% (85%)"
"427","Oddworld: Abe's Exoddus","357,264 ±18,495","374,950 ±19,244","17,686","4.95%","$2.99","75% ($0.74)","95% (N/A)"
"807","Homeworld: Deserts of Kharak","85,182 ±9,035","102,846 ±10,083","17,664","20.74%","$49.99","50% ($24.99)","79% (79%)"
"146","Risk of Rain","1,325,586 ±35,572","1,343,205 ±36,368","17,619","1.33%","$9.99","75% ($2.49)","94% (77%)"
"838","There's Poop In My Soup","75,160 ±8,487","92,768 ±9,576","17,608","23.43%","$0.99","33% ($0.66)","86% (N/A)"
"723","GemCraft - Chasing Shadows","115,998 ±10,543","133,596 ±11,491","17,598","15.17%","$9.99","75% ($2.49)","95% (N/A)"
"1299","Pro Cycling Manager 2016","0 ±0","17,571 ±4,168","17,571","0%","$39.99","10% ($35.99)","49% (64%)"
"464","DETOUR","302,647 ±17,024","320,167 ±17,784","17,520","5.79%","$1.99","90% ($0.49)","61% (N/A)"
"654","Kung Fu Strike: The Warrior's Rise","146,062 ±11,830","163,572 ±12,714","17,510","11.99%","$9.99","85% ($1.49)","80% (N/A)"
"589","The Legend of Heroes: Trails in the Sky","186,148 ±13,354","203,625 ±14,185","17,477","9.39%","$19.99","50% ($9.99)","92% (85%)"
"1260","GooCubelets: OCD","3,256 ±1,766","20,672 ±4,521","17,416","534.89%","$1.99","75% ($0.49)","58% (N/A)"
"835","Dead6hot","76,413 ±8,557","93,802 ±9,629","17,389","22.76%","$0.99","51% ($0.49)","44% (N/A)"
"1016","Danganronpa: Trigger Happy Havoc","43,092 ±6,426","60,467 ±7,731","17,375","40.32%","$29.99","33% ($20.09)","97% (83%)"
"1153","SPACECOM","17,788 ±4,129","35,143 ±5,894","17,355","97.57%","$9.99","75% ($2.49)","71% (68%)"
"277","Serious Sam Classic: The First Encounter","666,676 ±25,253","684,006 ±25,979","17,330","2.6%","$99.99","90% ($9.99)","96% (87%)"
"278","Serious Sam Classic: The Second Encounter","666,676 ±25,253","684,006 ±25,979","17,330","2.6%","$99.99","90% ($9.99)","96% (85%)"
"279","Serious Sam Classics: Revolution","666,676 ±25,253","684,006 ±25,979","17,330","2.6%","$9.99","90% ($0.99)","92% (N/A)"
"120","Besiege","1,570,610 ±38,705","1,587,917 ±39,527","17,307","1.1%","$7.99","30% ($5.59)","96% (N/A)"
"366","PROTOTYPE 2","448,209 ±20,713","465,392 ±21,436","17,183","3.83%","$39.99","75% ($9.99)","66% (76%)"
"251","Thief Gold","744,092 ±26,676","761,270 ±27,404","17,178","2.31%","$6.99","75% ($1.74)","91% (92%)"
"47","Don't Starve","3,416,561 ±56,918","3,433,726 ±57,955","17,165","0.5%","$14.99","75% ($3.74)","97% (79%)"
"1218","Wyatt Derp 2: Peacekeeper","9,520 ±3,020","26,616 ±5,130","17,096","179.58%","$0.99","51% ($0.49)","34% (N/A)"
"930","Cubicle Quest","57,873 ±7,447","74,938 ±8,607","17,065","29.49%","$4.99","90% ($0.49)","72% (N/A)"
"1025","The Banner Saga 2","41,338 ±6,294","58,400 ±7,598","17,062","41.27%","$19.99","20% ($15.99)","92% (82%)"
"336","Euro Truck Simulator","501,573 ±21,910","518,624 ±22,627","17,051","3.4%","$8.99","75% ($2.24)","80% (N/A)"
"931","Jotun","57,122 ±7,399","74,163 ±8,562","17,041","29.83%","$14.99","50% ($7.49)","85% (79%)"
"135","Audiosurf","1,397,490 ±36,520","1,414,525 ±37,316","17,035","1.22%","$9.99","75% ($2.49)","96% (85%)"
"374","Verdun","441,444 ±20,556","458,415 ±21,275","16,971","3.84%","$24.99","50% ($12.49)","86% (70%)"
"693","Attrition: Nuclear Domination","127,522 ±11,054","144,450 ±11,948","16,928","13.27%","$0.99","51% ($0.49)","32% (N/A)"
"396","The Ultimate DOOM","398,602 ±19,535","415,520 ±20,257","16,918","4.24%","$4.99","40% ($2.99)","91% (N/A)"
"367","Democracy 3","446,956 ±20,684","463,842 ±21,401","16,886","3.78%","$24.99","70% ($7.49)","77% (70%)"
"1283","Spider: Rite of the Shrouded Moon","2,004 ±1,386","18,863 ±4,318","16,859","841.27%","$12.99","75% ($3.24)","97% (N/A)"
"675","GooCubelets: The Algoorithm","133,535 ±11,311","150,393 ±12,192","16,858","12.62%","$1.99","75% ($0.49)","67% (N/A)"
"376","Commandos 3: Destination Berlin","433,678 ±20,375","450,405 ±21,089","16,727","3.86%","$3.99","85% ($0.59)","57% (72%)"
"144","FEZ","1,344,376 ±35,822","1,361,035 ±36,607","16,659","1.24%","$9.99","50% ($4.99)","91% (91%)"
"1110","TRANSFORMERS: Devastation","27,558 ±5,139","44,187 ±6,609","16,629","60.34%","$49.99","75% ($12.49)","93% (N/A)"
"296","Microsoft Flight Simulator X: Steam Edition","611,057 ±24,179","627,673 ±24,888","16,616","2.72%","$24.99","70% ($7.49)","79% (N/A)"
"1017","Roguelands","43,342 ±6,445","59,950 ±7,698","16,608","38.32%","$9.99","10% ($8.99)","86% (N/A)"
"379","I am Bread","429,669 ±20,281","446,270 ±20,992","16,601","3.86%","$12.99","75% ($3.24)","79% (60%)"
"392","Master Levels for DOOM II","402,110 ±19,620","418,621 ±20,332","16,511","4.11%","$14.99","40% ($8.99)","82% (N/A)"
"393","DOOM II: Hell on Earth","402,110 ±19,620","418,621 ±20,332","16,511","4.11%","$4.99","50% ($2.49)","90% (83%)"
"274","Fallout Tactics","672,438 ±25,362","688,915 ±26,072","16,477","2.45%","$9.99","50% ($4.99)","84% (82%)"
"1141","Project Druid - 2D Labyrinth Explorer-","21,045 ±4,491","37,469 ±6,086","16,424","78.04%","$0.99","51% ($0.49)","31% (N/A)"
"559","gravilon","201,681 ±13,900","218,096 ±14,680","16,415","8.14%","$1.99","75% ($0.49)","61% (N/A)"
"601","LISA","176,126 ±12,990","192,513 ±13,793","16,387","9.3%","$9.99","50% ($4.99)","95% (78%)"
"664","Downwell","141,051 ±11,625","157,370 ±12,471","16,319","11.57%","$2.99","50% ($1.49)","96% (84%)"
"306","S.T.A.L.K.E.R.: Clear Sky","575,732 ±23,471","592,012 ±24,172","16,280","2.83%","$9.99","60% ($3.99)","84% (75%)"
"159","Rogue Legacy","1,192,050 ±33,740","1,208,316 ±34,500","16,266","1.36%","$14.99","80% ($2.99)","94% (85%)"
"907","Europa Universalis: Rome - Gold Edition","63,636 ±7,809","79,848 ±8,884","16,212","25.48%","$9.99","75% ($2.49)","68% (79%)"
"349","Age of Wonders III","474,515 ±21,311","490,716 ±22,011","16,201","3.41%","$29.99","75% ($7.49)","81% (80%)"
"401","Sleeping Dogs: Definitive Edition","383,821 ±19,170","400,015 ±19,876","16,194","4.22%","$29.99","75% ($7.49)","N/A (N/A)"
"757","Insecticide Part 1","103,972 ±9,981","120,159 ±10,898","16,187","15.57%","$1.99","80% ($0.59)","73% (65%)"
"79","FTL: Faster Than Light","2,464,273 ±48,413","2,480,458 ±49,332","16,185","0.66%","$9.99","70% ($2.99)","97% (84%)"
"147","Spec Ops: The Line","1,321,076 ±35,512","1,337,261 ±36,287","16,185","1.23%","$29.99","75% ($7.49)","94% (76%)"
"1161","Cosmic Dust & Rust","18,038 ±4,158","34,109 ±5,807","16,071","89.1%","$0.99","0% ($0.99)","56% (N/A)"
"843","Space Pilgrim Episode One: Alpha Centauri","75,411 ±8,501","91,476 ±9,509","16,065","21.3%","$1.99","75% ($0.49)","89% (N/A)"
"711","NOT A HERO","123,263 ±10,868","139,281 ±11,733","16,018","12.99%","$12.99","75% ($3.24)","87% (75%)"
"385","Gorky 17","418,896 ±20,025","434,900 ±20,723","16,004","3.82%","$4.99","0% ($4.99)","81% (N/A)"
"373","Octodad: Dadliest Catch","443,448 ±20,603","459,449 ±21,299","16,001","3.61%","$14.99","75% ($3.74)","92% (69%)"
"245","Tom Clancy's The Division","762,130 ±26,996","778,066 ±27,704","15,936","2.09%","$59.99","25% ($44.99)","52% (N/A)"
"1101","8-Bit Armies","29,062 ±5,277","44,963 ±6,667","15,901","54.71%","$14.99","15% ($12.74)","86% (N/A)"
"614","Galcon Fusion","167,358 ±12,662","183,211 ±13,456","15,853","9.47%","$9.99","0% ($9.99)","76% (68%)"
"880","Lost Castle","68,396 ±8,096","84,241 ±9,125","15,845","23.17%","$9.99","33% ($5.35)","93% (N/A)"
"549","LYNE","213,957 ±14,316","229,724 ±15,066","15,767","7.37%","$2.99","70% ($0.89)","96% (N/A)"
"690","RIP 2: Strike Back","130,529 ±11,183","146,258 ±12,023","15,729","12.05%","$4.99","80% ($0.99)","63% (N/A)"
"691","RIP 3: The Last Hero","130,529 ±11,183","146,258 ±12,023","15,729","12.05%","$4.99","80% ($0.99)","63% (N/A)"
"31","Fallout: New Vegas","4,397,911 ±64,475","4,413,609 ±65,604","15,698","0.36%","$9.99","50% ($4.99)","95% (84%)"
"694","Patrician III","128,775 ±11,108","144,450 ±11,948","15,675","12.17%","$4.99","0% ($4.99)","76% (75%)"
"596","Peggle Nights","182,139 ±13,209","197,682 ±13,977","15,543","8.53%","$4.99","75% ($1.24)","93% (76%)"
"819","Sherlock Holmes versus Jack the Ripper","83,428 ±8,941","98,970 ±9,891","15,542","18.63%","$9.99","75% ($2.49)","80% (73%)"
"939","Bit Blaster XL","57,873 ±7,447","73,387 ±8,517","15,514","26.81%","$0.99","51% ($0.49)","98% (N/A)"
"900","RollerCoaster Tycoon World","65,891 ±7,946","81,398 ±8,970","15,507","23.53%","$49.99","20% ($39.99)","33% (N/A)"
"687","RIP","131,280 ±11,215","146,775 ±12,044","15,495","11.8%","$4.99","80% ($0.99)","63% (N/A)"
"776","10,000,000","96,456 ±9,614","111,890 ±10,516","15,434","16%","$4.99","75% ($1.24)","89% (67%)"
"581","Oddworld: Munch's Oddysee","193,914 ±13,629","209,310 ±14,382","15,396","7.94%","$4.99","75% ($1.24)","68% (N/A)"
"216","Supreme Commander: Forged Alliance","851,822 ±28,537","866,959 ±29,239","15,137","1.78%","$14.99","75% ($3.74)","97% (81%)"
"648","Castlevania: Lords of Shadow 2","152,576 ±12,090","167,706 ±12,874","15,130","9.92%","$39.99","75% ($9.99)","83% (58%)"
"240","Assassin's Creed","768,644 ±27,111","783,751 ±27,804","15,107","1.97%","$19.99","50% ($9.99)","83% (79%)"
"1119","Escape This","27,308 ±5,116","42,378 ±6,473","15,070","55.19%","$0.99","0% ($0.99)","60% (N/A)"
"1076","Beast Blaster","35,075 ±5,798","50,131 ±7,040","15,056","42.93%","$3.99","87% ($0.51)","61% (N/A)"
"435","Shovel Knight","347,243 ±18,234","362,288 ±18,916","15,045","4.33%","$14.99","33% ($10.04)","96% (85%)"
"619","Far Cry Primal","166,105 ±12,615","181,144 ±13,379","15,039","9.05%","$59.99","35% ($38.99)","70% (74%)"
"577","Professional Farmer 2014","196,420 ±13,717","211,377 ±14,452","14,957","7.61%","$14.99","80% ($2.99)","49% (N/A)"
"592","The Book of Unwritten Tales","187,401 ±13,399","202,333 ±14,140","14,932","7.97%","$19.99","75% ($4.99)","91% (82%)"
"719","Armello","121,259 ±10,779","136,181 ±11,601","14,922","12.31%","$19.99","25% ($14.99)","86% (75%)"
"646","Rebel Galaxy","154,079 ±12,150","168,998 ±12,923","14,919","9.68%","$19.99","50% ($9.99)","87% (N/A)"
"350","Tom Clancy's Rainbow Six: Vegas 2","474,014 ±21,300","488,908 ±21,970","14,894","3.14%","$9.99","50% ($4.99)","87% (78%)"
"225","Assassin's Creed Brotherhood","809,482 ±27,820","824,321 ±28,513","14,839","1.83%","$19.99","50% ($9.99)","86% (88%)"
"748","Fairy Fencer F","108,482 ±10,195","123,260 ±11,038","14,778","13.62%","$29.99","75% ($7.49)","93% (66%)"
"481","Monday Night Combat","280,349 ±16,386","295,101 ±17,074","14,752","5.26%","$4.99","80% ($0.99)","80% (82%)"
"796","Avernum: Escape From the Pit","90,694 ±9,322","105,430 ±10,208","14,736","16.25%","$9.99","70% ($2.99)","93% (76%)"
"139","Call of Duty: Ghosts","1,370,933 ±36,173","1,385,583 ±36,934","14,650","1.07%","$59.99","67% ($19.79)","56% (68%)"
"140","Call of Duty: Ghosts - Multiplayer","1,370,933 ±36,173","1,385,583 ±36,934","14,650","1.07%","$59.99","67% ($19.79)","N/A (68%)"
"1052","Panzer Corps","38,081 ±6,041","52,715 ±7,219","14,634","38.43%","$19.99","50% ($9.99)","93% (80%)"
"737","Offworld Trading Company","111,989 ±10,359","126,619 ±11,187","14,630","13.06%","$39.99","50% ($19.99)","77% (79%)"
"423","GRAV","366,784 ±18,740","381,410 ±19,408","14,626","3.99%","$19.99","85% ($2.99)","66% (N/A)"
"82","Star Wars: Knights of the Old Republic","2,381,095 ±47,595","2,395,701 ±48,488","14,606","0.61%","$9.99","0% ($9.99)","88% (N/A)"
"516","Galactic Civilizations III","251,037 ±15,506","265,643 ±16,200","14,606","5.82%","$39.99","66% ($13.59)","77% (81%)"
"842","The Mean Greens - Plastic Warfare","76,914 ±8,585","91,476 ±9,509","14,562","18.93%","$9.99","25% ($7.49)","75% (N/A)"
"1121","Reflex","27,558 ±5,139","42,120 ±6,453","14,562","52.84%","$9.99","50% ($4.99)","88% (N/A)"
"990","BitRay","51,109 ±6,999","65,635 ±8,055","14,526","28.42%","$0.99","25% ($0.74)","63% (N/A)"
"683","Portal 2 - The Final Hours","133,285 ±11,301","147,809 ±12,086","14,524","10.9%","$1.99","0% ($1.99)","83% (N/A)"
"792","Absolute Drift","91,445 ±9,361","105,947 ±10,233","14,502","15.86%","$11.99","45% ($6.59)","89% (66%)"
"363","Hearts of Iron III","452,969 ±20,823","467,460 ±21,484","14,491","3.2%","$9.99","75% ($2.49)","81% (77%)"
"590","Bound By Flame","188,403 ±13,434","202,850 ±14,158","14,447","7.67%","$29.99","80% ($5.99)","66% (56%)"
"447","The Secret World","327,701 ±17,714","342,132 ±18,383","14,431","4.4%","$29.99","66% ($10.19)","85% (74%)"
"600","LEGO Batman: The Videogame","178,882 ±13,091","193,289 ±13,820","14,407","8.05%","$19.99","75% ($4.99)","80% (80%)"
"633","Universe Sandbox","161,846 ±12,452","176,234 ±13,197","14,388","8.89%","$24.99","20% ($19.99)","94% (N/A)"
"145","Psychonauts","1,328,843 ±35,615","1,343,205 ±36,368","14,362","1.08%","$9.99","90% ($0.99)","95% (87%)"
"391","Puzzle Agent 2","406,620 ±19,730","420,946 ±20,388","14,326","3.52%","$9.99","75% ($2.49)","86% (63%)"
"565","Victor Vran","200,679 ±13,865","214,995 ±14,575","14,316","7.13%","$19.99","75% ($4.99)","90% (75%)"
"456","Unreal Tournament: Game of the Year Edition","315,424 ±17,380","329,728 ±18,047","14,304","4.53%","$9.99","80% ($1.99)","N/A (92%)"
"36","Just Cause 2","3,990,539 ±61,457","4,004,807 ±62,532","14,268","0.36%","$14.99","75% ($3.74)","92% (84%)"
"598","Port Royale 3","182,390 ±13,218","196,648 ±13,940","14,258","7.82%","$14.99","75% ($4.99)","66% (N/A)"
"438","Slender: The Arrival","345,489 ±18,188","359,704 ±18,849","14,215","4.11%","$9.99","75% ($2.49)","89% (65%)"
"755","The Witness","106,728 ±10,113","120,934 ±10,933","14,206","13.31%","$39.99","20% ($31.99)","84% (87%)"
"801","Escape Machines","89,942 ±9,284","104,138 ±10,146","14,196","15.78%","$0.99","51% ($0.49)","44% (N/A)"
"269","System Shock 2","698,494 ±25,847","712,689 ±26,517","14,195","2.03%","$9.99","75% ($2.49)","94% (92%)"
"194","Red Faction: Guerrilla Steam Edition","953,039 ±30,180","967,221 ±30,879","14,182","1.49%","$19.99","75% ($4.99)","89% (82%)"
"124","Rome: Total War","1,519,752 ±38,076","1,533,910 ±38,852","14,158","0.93%","$9.99","75% ($2.49)","94% (92%)"
"286","The Swapper","639,618 ±24,736","653,772 ±25,400","14,154","2.21%","$14.99","80% ($2.99)","97% (87%)"
