Variable,Factor,coef,std err,t,p,sig,Keep
cat9,cat9B,1.01E+00,9.96E-01,1.014,0.310434,,0
cat90,cat90B,-1.22E-01,3.00E-01,-0.407,0.683847,,0
cat90,cat90C,NA,NA,NA,NA,,0
cat90,cat90D,NA,NA,NA,NA,,0
cat91,cat91B,4.07E-02,2.37E-02,1.721,0.085193,.,0
cat91,cat91C,1.22E-01,3.14E-02,3.875,0.000107,***,1
cat91,cat91D,1.30E-01,6.01E-02,2.16,0.03079,*,1
cat91,cat91E,1.12E-01,1.23E-01,0.915,0.360395,,0
cat91,cat91F,3.41E-03,1.57E-01,0.022,0.982657,,0
cat91,cat91G,-2.41E-02,3.83E-02,-0.63,0.528478,,0
cat91,cat91H,NA,NA,NA,NA,,0
cat92,cat92B,5.50E-02,6.83E-02,0.804,0.421373,,0
cat92,cat92C,-3.62E-01,2.88E-01,-1.259,0.207875,,0
cat92,cat92H,-4.07E-03,3.55E-02,-0.115,0.908776,,0
cat92,cat92I,NA,NA,NA,NA,,0
cat93,cat93B,4.28E-01,9.88E-02,4.33,1.50E-05,***,1
cat93,cat93C,3.71E-01,8.48E-02,4.374,1.22E-05,***,1
cat93,cat93D,3.76E-01,8.38E-02,4.488,7.23E-06,***,1
cat93,cat93E,3.24E-01,1.09E-01,2.969,0.002994,**,1
cat94,cat94B,1.82E-01,7.80E-02,2.33,0.019825,*,1
cat94,cat94C,2.20E-01,8.16E-02,2.698,0.006981,**,1
cat94,cat94D,2.49E-01,7.96E-02,3.124,0.001789,**,1
cat94,cat94E,2.14E-01,2.47E-01,0.865,0.386961,,0
cat94,cat94F,-4.81E-02,1.25E-01,-0.384,0.701145,,0
cat94,cat94G,3.03E-01,3.65E-01,0.83,0.406641,,0
cat95,cat95B,3.94E-02,8.08E-01,0.049,0.961163,,0
cat95,cat95C,3.60E-01,2.47E-01,1.462,0.143874,,0
cat95,cat95D,1.43E-01,4.04E-01,0.353,0.72404,,0
cat95,cat95E,1.22E-01,8.98E-02,1.363,0.17292,,0
cat96,cat96B,-8.33E-01,1.96E+00,-0.425,0.67055,,0
cat96,cat96C,-1.51E+00,1.43E+00,-1.049,0.293989,,0
cat96,cat96D,-2.74E-01,1.10E+00,-0.249,0.803259,,0
cat96,cat96E,-6.82E-01,1.23E+00,-0.555,0.579181,,0
cat96,cat96F,5.75E-02,1.09E+00,0.053,0.957758,,0
cat96,cat96G,-1.23E-01,1.11E+00,-0.111,0.911439,,0
cat96,cat96I,-3.77E-01,1.27E+00,-0.297,0.766548,,0
cat97,cat97B,1.30E+00,1.13E+00,1.152,0.249344,,0
cat97,cat97C,-2.20E-03,2.14E-02,-0.103,0.917861,,0
cat97,cat97D,7.82E-02,8.65E-02,0.904,0.365876,,0
cat97,cat97E,-3.77E-02,3.27E-02,-1.154,0.248649,,0
cat97,cat97F,2.03E-01,3.23E-01,0.629,0.529194,,0
cat97,cat97G,2.77E-02,3.21E-02,0.863,0.388037,,0
cat98,cat98B,8.97E-01,4.81E-01,1.865,0.062219,.,0
cat98,cat98C,1.83E-01,4.81E-01,0.381,0.703473,,0
cat98,cat98D,NA,NA,NA,NA,,0
cat98,cat98E,1.72E-01,2.28E-01,0.756,0.449627,,0
cat99,cat99D,-2.89E-01,2.44E-01,-1.183,0.236765,,0
cat99,cat99E,1.44E-01,2.78E-01,0.518,0.604761,,0
cat99,cat99F,NA,NA,NA,NA,,0
cat99,cat99G,3.04E-01,8.75E-01,0.348,0.728158,,0
cat99,cat99H,3.47E-02,4.30E-01,0.081,0.93569,,0
cat99,cat99I,-1.98E-01,8.44E-01,-0.235,0.81417,,0
cat99,cat99J,-3.21E-02,2.18E-01,-0.147,0.882829,,0
cat99,cat99K,-3.56E-01,2.47E-01,-1.443,0.148977,,0
cat99,cat99M,NA,NA,NA,NA,,0
cat99,cat99N,-4.58E-01,2.38E-01,-1.925,0.054269,.,0
cat99,cat99P,-9.96E-02,3.96E-01,-0.252,0.801426,,0
cat99,cat99R,NA,NA,NA,NA,,0
cat99,cat99S,NA,NA,NA,NA,,0
cat99,cat99T,NA,NA,NA,NA,,0
