Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Albania,ALB,5.4673721340388,8.60927152317881,7.40740740740741,8.91891891891892,9.04109589041096,8.18414322250639,7.48792270531401,7.18390804597701,8.79120879120879,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Austria,AUT,21.1182336182336,19.1634241245136,14.0620552234557,14.7087719298246,15.0324775750077,14.5008605851979,12.8449794480329,12.6706550084369,12.1910026101643,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Belgium,BEL,23.1435294117647,23.1854838709677,22.3870127267261,25.3151159434235,25.8212948100589,26.2145450976543,22.6387124099958,25.8620689655172,28.2459881045898,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Bosnia and Herzegovina,BIH,1.20833333333333,0.65597667638484,0.705754614549403,0.642292490118577,2.0781791192479,2.78184480234261,2.43589743589744,2.35565819861432,2.6046511627907,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Bulgaria,BGR,4.11693710607483,3.19981038160702,2.60835457932928,2.78178446321863,2.64150943396226,2.90540540540541,3.00751879699248,3.21709786276715,3.07731434384537,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Croatia,HRV,10.9874152952565,14.9289099526066,12.1779859484778,12.992125984252,14.0698280354351,15.1333696243876,13.9303482587065,13.7326073805203,13.3041848844472,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Cyprus,CYP,4.62724935732648,3.65079365079365,7.14285714285714,6.59630606860158,7.06666666666667,6.61157024793388,7.42857142857143,7.68049155145929,7.47330960854093,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Denmark,DNK,12.4215070643642,9.37931034482759,7.51937984496124,7.75241620398931,7.82349179279471,8.41594600295296,7.98578199052133,8.7719298245614,8.29683071373357,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Czech Republic,CZE,15.4670037253858,10.3107228220556,8.52924193681432,9.29008884671785,9.75341461178843,10.5546580506193,9.57340820577846,10.1060806971017,11.0847424107584,..,..,..
