,Category,FoundedDate,Group reviews,Location,Past Meetups,Region,Upcoming Meetups,UpcommingEventDate,UpcommingEventGoing,UpcommingEventName,UpcommingEventTime,Worldwide,group,member,name
1146,Movements,Aug 2 2016 ,,New York,2,NY,1,Wed Nov 16,5 going,Fee for service programs that are mission aligned and financially viable.,09:00 AM,,Members,71,New York Social Sector Leadership Meetup
1147,Movements,Aug 23 2016 ,,Astoria,17,NY,3,Sun Nov 13,2 going,Canvass -Organizing Hicksville,11:00 AM,,Political Rebels,80,Politics Reborn
1148,Movements,Nov 1 2016 ,,New York,1,NY,,,,,,,Members,31,NYC Stands with Standing Rock
1149,Movements,Apr 14 2003 ,21,New York,153,NY,7,Sun Nov 27,2 going,The New York City Ayn Rand Group Monthly Meetup,03:00 PM,,Objectivists,532,The New York City Ayn Rand Group
1150,Movements,Mar 3 2011 ,11,New York,48,NY,1,Thu Nov 17,10 going,SocialTV NYC November Meetup with WNET/PBS (new location),08:00 AM,,Members,842,SocialTV NYC
1151,Movements,Jul 1 2011 ,11,New York,126,NY,1,Coming soon!,32 going,Weekend Meetups?,,,Young Professionals,"1,294",NYC Young Professionals Amnesty International
1152,Movements,Sep 20 2011 ,17,Jersey City,676,NJ,62,Mon Nov 14,0 going,City Council Caucus,05:30 PM,,Members,293,Sustainable Jersey City
1153,Movements,Jun 2 2013 ,8,New York,24,NY,,,,,,,Ex-Liberals,260,Ex-Liberals NYC
1154,Movements,Jun 10 2013 ,1,New York,183,NY,10,Sat Nov 12,6 going,Friends in Need Feeding Program,11:00 AM,,Big Hearted New Yorkers,168,Friends in Need - NYC Feeding Program
1155,Movements,Sep 19 2016 ,1,New York,17,NY,21,Sat Nov 12,2 going,My Park Day. Planting tulips and daffodils for spring and mulching,10:00 AM,,Members,34,New York Gardening Meetup
1156,Movements,Oct 6 2016 ,,New York,1,NY,1,Sat Dec 10,1 going,Tiny House General Meeting #2,10:00 AM,,builders empowering ourselves,180,NYC Tiny House Build: Empowering Women/Girls Meetup
1157,Movements,Jul 2 2016 ,,Brooklyn,3,NY,,,,,,,Members,184,Artists and Innovators for the Social Good
1158,Movements,Jul 21 2016 ,,New York,1,NY,1,Thu Dec 1,6 going,Official First Mingle,06:00 PM,,Members,59,Ally Up: sharing ally tools for a more inclusive society.
1159,Movements,May 24 2007 ,32,New York,"1,281",NY,7,Wed Dec 14,3 going,December Marketing Meetup,06:30 PM,,Change Agents,"1,916",NYC Volunteer Opportunities
1160,Movements,Jul 15 2007 ,11,New York,426,NY,15,,,,,,Advocates for Community Gardens,334,Chenchita's Community Gardens
1161,Movements,Nov 29 2012 ,17,New York,187,NY,8,Tue Nov 15,3 going,NYC Stands with Standing Rock:  No Dakota Access Pipeline-#NoDAPL ,04:00 PM,,Enviros,416,350NYC
1162,Movements,Jul 28 2014 ,3,New York,27,NY,,,,,,,Hepcats,38,Community Cats
1163,Movements,Jan 13 2016 ,1,New York,23,NY,9,Wed Nov 30,3 going,Heat Seek NYC Volunteer Meetup,06:00 PM,,Heat Seekers,94,Heat Seek NYC Volunteers Meetup
1164,Movements,Feb 6 2016 ,,New York,18,NY,18,Tue Nov 15,7 going,How Can We Do as Much Good as Possible?,07:00 PM,,Co-creators,55,The Joy of Change
1165,Movements,Mar 19 2016 ,2,New York,3,NY,,,,,,,Hackers,275,Hackers 4 Good: Creating Great Experiences for Everyone
1166,Movements,Aug 15 2016 ,,New York,1,NY,6,Sat Nov 12,6 going,SEP Underprivileged Children Monthly Meetup,08:00 PM,,Members,59,Underprivileged Children's Education India Sashakti
1167,Movements,Oct 28 2016 ,,New York,1,NY,1,,,,,,Members,77,Roomi - new places and new people
1168,Movements,Jan 18 2004 ,10,New York,64,NY,,,,,,,Activists,281,The New York City Pro-Peace Meetup Group
1169,Movements,Apr 13 2008 ,13,New York,73,NY,1,,,,,,NYC Memoirs Only Readers,299,Memoirs Only Book Club of NYC
1170,Movements,Sep 4 2008 ,1,New York,285,NY,19,Fri Nov 11,3 going,PHC's POLITICAL DISCUSSION GROUP,08:00 PM,,PHC'ers,117,POLITICS FOR A HUMAN COMMUNITY
1171,Movements,Dec 13 2008 ,14,New York,427,NY,4,Wed Jan 1,2 going,FightSla¬≠veryNow.Or¬≠¬≠g  Visit our website to learn more about modern-day slavery,12:00 AM,,Modern-day abolitionists,439,Fight Slavery Now!
1172,Movements,Feb 21 2011 ,6,New York,386,NY,10,Sat Nov 12,9 going,Street action at Ground Zero,03:00 PM,,Members,267,We Are Change NYC
1173,Movements,Nov 6 2011 ,1,New York,58,NY,,,,,,,Members,208,Blue Economics
1174,Movements,Aug 30 2012 ,3,New York,85,NY,,,,,,,Tipsters,83,advice4quarter
1175,Movements,Aug 5 2013 ,,New York,70,NY,11,Sun Nov 13,2 going,AID NYC Biweekly Meeting (CSH),02:00 PM,,Members,148,AID NYC
1176,Movements,Jan 31 2015 ,4,New York,202,NY,1,Coming soon!,1 going,"Thursday Wisdom in Action series ""LIVING WITH LIGHTNESS"" AUG 4TH 630PM",,,Nonprofit Executive Directors,380,Nonprofit Executive Directors (NED) Meetup
1177,Movements,Apr 14 2015 ,,Hoboken,14,NJ,1,Wed Dec 14,3 going,Reign over Reign Nightclub!,06:30 PM,,fundraisers,228,Hoboken Shelter Fundraising Events
1178,Movements,May 31 2015 ,,Brooklyn,1,NY,,,,,,,DYNAMIC Mentors,36,NYC Dynamic Mentors
1179,Movements,Jun 11 2015 ,1,New York,11,NY,,,,,,,Community Manager Unicorns,154,CMGR Breakfast
1180,Movements,Feb 23 2016 ,1,New York,4,NY,2,Sun Nov 13,3 going,"""Let's Talk Politics"" Post Presidential Election",02:30 PM,,Regular Folks Talking Politics,117,"New York Politics Meetup- ""Let's Talk Politics"""
1181,Movements,May 5 2016 ,,New York,24,NY,26,Sat Nov 12,2 going,Bring YOUR SELF...Your story!!!!!,03:00 PM,,Motivators,32,Domestic Violence Awareness Young Starr Movement Meetup
1182,Movements,Sep 22 2016 ,,New York,2,NY,6,Sat Nov 12,1 going,Farmer's Market Pick Up and Distribution,02:30 PM,,Members,72,Food Bank For NYC
1183,LGBTQ,Aug 16 2012 ,6,Astoria,78,NY,,,,,,,Gaystorians,872,Out & About Astoria NYC- LGBT
1184,LGBTQ,May 11 2015 ,,Astoria,2,NY,,,,,,,Gay Astoria Dog Owners,50,Astoria Gay Dog Walking (Astoria Park)
1185,LGBTQ,Jan 18 2010 ,23,New York,316,NY,5,Fri Nov 11,17 going,"""It's Been Real"" - LEZ Factor's Final Party (!! NEW LOCATION !!)",10:00 PM,,Members,"5,005",Queer Happy Hour
1186,LGBTQ,Oct 10 2016 ,,Brooklyn,,NY,1,Thu Nov 17,115 going,Trans in Tech,07:00 PM,,Members,139,Prolific Events
1187,LGBTQ,Oct 29 2013 ,33,New York,228,NY,10,Mon Nov 14,31 going,GUY BOWL:  Our monthly bowl at BOWLMOR TIMES SQUARE!,07:00 PM,,GUYS,"2,518",GUY SOCIAL NYC
1188,LGBTQ,Oct 3 2015 ,5,New York,31,NY,2,Sun Nov 13,75 going,Brunch of the month (with board games!),11:00 AM,,Members,"1,311",Lesbians who brunch - LWT NYC
1189,LGBTQ,May 10 2011 ,17,New York,255,NY,3,,,,,,Members,"3,227",LGBT 20Something NYC
1190,LGBTQ,Oct 1 2012 ,23,New York,52,NY,7,Fri Nov 11,61 going,We will meet at Barracuda,07:00 PM,,Globe Trotter Ex-pats,"2,121",Gay International Happy Hour
1191,LGBTQ,Jan 22 2011 ,25,New York,204,NY,6,Sat Nov 12,8 going,Let's Meetup and Tour Subway Art!,01:00 PM,,Group Members,"4,586",Out Professionals
1192,LGBTQ,Jan 10 2013 ,30,New York,48,NY,1,Tue Dec 6,51 going,"Book to be discussed:  ""The Motion of Light in Water"" by Samuel R. Delany",07:00 PM,,Gay book lovers,"1,760",NYC Gay Guys' Book Club
1193,LGBTQ,Dec 13 2015 ,10,New York,115,NY,13,,,,,,Daddy's,734,Daddy Retreat - NYC Men's Wellness Group
1194,LGBTQ,Jul 14 2013 ,9,New York,60,NY,1,Sat Nov 12,65 going,LAUGH at The Broadway Comedy Club !,08:30 PM,,Awesome Ladies,"1,733",NYC Awesome Women
1195,LGBTQ,Jan 19 2014 ,5,New York,19,NY,7,Sun Dec 4,11 going,DANCE AND HAVE A GREAT TIME MEETING NEW PEOPLE,04:00 PM,,Vintage Sunday Tea Dance,"1,461",New York Lesbian Sunday Vintage Tea Dance Monthly Party
1196,LGBTQ,May 10 2015 ,9,Brooklyn,17,NY,,,,,,,Neighbors,678,DTBK (Downtown Brooklyn) Gay Social Meetup
1197,LGBTQ,May 6 2006 ,42,New York,933,NY,51,Sat Nov 12,5 going,My Brother's a Keeper (A Play),03:00 PM,,Open-minded & Inclusive friends,"2,632","NYC's Bisexual, Non-Monosexual & Queer Meetup Group"
1198,LGBTQ,Sep 7 2016 ,,New York,5,NY,2,Sun Nov 13,17 going,LezPong: Ping Pong for Queer Women & Friends!,07:00 PM,,Members,431,GIRL SOCIAL NYC
1199,LGBTQ,Nov 1 2010 ,24,New York,170,NY,1,,,,,,Professional Women of Color,885,Lesbian & Bi-Sexual Professional Women of Color
1200,LGBTQ,May 4 2011 ,43,New York,184,NY,3,,,,,,photographers,"1,070",NYC Gay Photographers
1201,LGBTQ,Jun 18 2012 ,40,New York,48,NY,1,Sun Nov 20,33 going,Lake Skenonto Circular Hike,09:00 AM,,Hikers,"1,467",Gay Men's Hiking Group
1202,LGBTQ,Jun 17 2009 ,7,New York,94,NY,1,,,,,,Unattached Gay New Yorkers,"3,358","Single, Gay And Fabulous Men In NYC."
1203,LGBTQ,Jan 23 2010 ,17,New York,285,NY,2,Fri Nov 11,1 going,Trevor NextGen Presents Fall Fete: Bazaar!,06:30 PM,,Members,"2,155","The ""Non-Scene"" Gay 20-Somethings of NYC"
1204,LGBTQ,Feb 3 2008 ,21,New York,287,NY,2,,,,,,Lesbian Professionals,"2,897",Young Lesbian Professionals
1205,LGBTQ,Mar 24 2011 ,38,New York,94,NY,1,,,,,,Ladies,"2,186",LEZ Factor's NYC Women Who Like Women
1206,LGBTQ,Jan 4 2013 ,34,New York,42,NY,1,,,,,,Members,385,Fourth Tuesday Professional Womens' Dinner for Lesbians 50+
1207,LGBTQ,Mar 11 2015 ,32,New York,82,NY,,,,,,,Lively lezzies,683,New York City Lesbians 50 + Out and About
1208,LGBTQ,Nov 11 2015 ,8,New York,18,NY,,,,,,,Upper West Gays,820,Gay Upper West Side
1209,LGBTQ,Oct 7 2009 ,4,New York,45,NY,,,,,,,BlackLat lesbians,845,Black and Latina Bi/Lesbian Professionals
1210,LGBTQ,Jun 7 2012 ,23,New York,463,NY,,,,,,,Members,545,HIV: NYC Support Group for Gay Men
1211,LGBTQ,Oct 21 2016 ,,New York,,NY,,,,,,,Members,152,New York Gay Artists
1212,LGBTQ,Feb 6 2011 ,17,New York,111,NY,1,,,,,,Harlem Collective Members,790,Harlem Collective with Lesbians of Color
1213,LGBTQ,Sep 17 2012 ,25,New York,239,NY,14,,,,,,Gay & Bisexual Men,"1,788",NYC Men's Massage Exchange
1214,LGBTQ,Aug 14 2015 ,1,New York,32,NY,,,,,,,Qgirls,271,Lesbians 40+ seeking friendship/Tri-state
1215,LGBTQ,Oct 14 2015 ,8,New York,68,NY,3,Wed Nov 16,6 going,GenderCrossing Dinner...and Annual Meeting,05:00 PM,,Participants,223,CDI-NYC's Cross-Gender Community
1216,LGBTQ,Feb 27 2016 ,2,New York,22,NY,4,Sat Nov 12,2 going,Empowered Living and Leading Workshop with Rev. Martha Creek,01:00 PM,,Unity Pride,460,Unity Pride: Gay Men's Spirituality Group
1217,LGBTQ,Jul 3 2016 ,10,New York,10,NY,2,Sat Nov 12,14 going,Leslie-Lohman Museum of Gay and Lesbian Art,01:00 PM,,Members,106,GAY MEN OVER 50 NEW START UP
1218,LGBTQ,Nov 2 2008 ,24,New York,289,NY,2,,,,,,Russian-Speaking LGBTQ Friends,614,RUSA LGBT - Russian-Speaking LGBTQ Meetup
1219,LGBTQ,May 7 2014 ,19,New York,27,NY,,,,,,,Gays lucky to be free daytime!,548,New York Daytime Gay Social men Meetup
1220,LGBTQ,Aug 15 2012 ,48,New York,115,NY,10,Fri Nov 25,2 going,Drinks and Chat.,05:30 PM,,Bons Vivants,731,Gay French Conversation
1221,LGBTQ,Feb 9 2015 ,3,New York,26,NY,1,Sun Nov 13,19 going,"Discuss Garrard Conley's ""Boy Erased""",05:00 PM,,Rainbow Readers,"1,167",Queer Book Club @ Book Culture
1222,LGBTQ,Jul 20 2015 ,4,New York,23,NY,,,,,,,Members,"1,414",Gay Beach Bums
1223,LGBTQ,Oct 10 2016 ,,New York,,NY,1,Wed Dec 7,20 going,Que(e)ry: LGBTQ Data Science Kick-Off Party!,06:30 PM,,Members,93,Que(e)ry - LGBTQ Data Science
1224,LGBTQ,Feb 28 2007 ,37,New York,262,NY,5,,,,,,Adventure Gurls!,"1,815",Adventure Gurls--NYC
1225,LGBTQ,Feb 13 2014 ,1,New York,7,NY,1,Wed Dec 7,19 going,An Evening of Chocolate Tasting and Knowledge,06:30 PM,,Super Awesome People,564,Project Q: Events for Queer Women in NYC
1226,LGBTQ,May 3 2016 ,1,New York,9,NY,3,,,,,,Cases,290,"New York ""Not Out"" Gay Male Social Group"
1227,LGBTQ,Jan 22 2013 ,9,New York,106,NY,16,,,,,,LGBTQ people,380,NYC LGBTQ SUPPORTIVE CONNECTIONS
1228,LGBTQ,Apr 17 2016 ,2,New York,5,NY,4,Tue Nov 15,26 going,"""The Motion of Light in Water"" by Samuel Delany",06:30 PM,,Readers,332,The Third Tuesday Gay Men's Book Club
1229,LGBTQ,Apr 26 2016 ,1,Long Island City,7,NY,1,Sun Nov 13,14 going,Meet at Sweetleaf Greepoint in Brooklyn,02:00 PM,,neigh¬∑bor,169,Coffee Grindr
1230,LGBTQ,May 7 2014 ,3,Brooklyn,39,NY,10,,,,,,Contributors,103,MenKIND: Talks For And About Fluid Men of African Descent
1231,LGBTQ,Jun 16 2015 ,,New York,46,NY,3,,,,,,Member,162,Asian Lesbians Meetup
1232,LGBTQ,Nov 5 2015 ,,New York,12,NY,1,Wed Nov 16,10 going,Play Gay Magic the Gathering - Freestyle Multiplayer,07:00 PM,,Gay Planeswalkers,295,Gay Planeswalkers NYC
1233,LGBTQ,Nov 14 2015 ,2,New York,13,NY,1,,,,,,Tea Enthusiasts,197,Men's Tea Social
1234,LGBTQ,Oct 12 2016 ,1,Brooklyn,1,NY,1,Fri Dec 2,3 going,Queer Readings: THE NANCE by Douglas Carter Beane,07:00 PM,,Members,86,Queer Readings: Queer Play Reading Group
1235,LGBTQ,Feb 27 2008 ,114,New York,192,NY,1,Wed Nov 23,33 going,HOT Turkey! Thanksiving Eve Party,09:00 PM,,Different Kind of Ladies,"4,655",A Different Kind of Ladies' Night - NYC
1236,LGBTQ,Sep 1 2008 ,42,New York,183,NY,2,,,,,,Women,"1,250",Women About in NYC & Westchester
1237,LGBTQ,Dec 6 2013 ,13,New York,37,NY,1,Coming soon!,11 going,The Fashion World of Jean Paul Gaultier: From the Sidewalk to the Catwalk,,,Activity Seekers,706,Lesbians 45 + Active in the City
1238,LGBTQ,Jan 18 2015 ,7,New York,49,NY,,,,,,,GayNerds,726,Gay/Lesbian Nerds in the City
1239,LGBTQ,Aug 22 2016 ,1,New York,1,NY,2,Sun Dec 4,9 going,Peruvian Expats to Discuss Peru (2 to 3 guest speakers),04:00 PM,,Gay Spanish- Latin Culture Group,99,New York Gay Spanish- Latin Culture Group
1240,LGBTQ,Sep 2 2016 ,,New York,12,NY,1,,,,,,Beauties,92,Bi Beauties
1241,LGBTQ,Oct 12 2016 ,,New York,4,NY,9,Sat Nov 12,1 going,Sketchy Saturdays,06:00 PM,,Members,103,Sketchy Saturdays
1242,LGBTQ,Nov 22 2009 ,14,New York,44,NY,1,Sun Nov 13,10 going,Relationship-oriented guys Meetup,07:00 PM,,NYC Gay Men,"1,670",In The Company of Men: NYC Gay Men's Life Coaching Group
1243,LGBTQ,May 21 2015 ,6,New York,19,NY,1,Mon Nov 14,10 going,The Balkans,06:30 PM,,wine lovers,"1,105",NYC Gay Men's Wine Dinner Group
1244,LGBTQ,Aug 25 2015 ,2,New York,5,NY,,,,,,,Gay Friends,"1,155",New Gay Friends in New York City
1245,LGBTQ,Jun 10 2016 ,1,New York,4,NY,1,Fri Nov 11,3 going,Glow Zone at Sky Zone Trampoline Park New Rochelle!,08:45 PM,,Members,821,NYC Gay Introverts
1246,LGBTQ,Sep 1 2016 ,,New York,2,NY,1,,,,,,Members,187,Body Electric NYC
1247,LGBTQ,Feb 23 2011 ,3,New York,911,NY,30,Sat Nov 12,2 going,Weekly Walk-In Center Peer Counseling,06:00 PM,,Members,878,Identity House New York City
1248,LGBTQ,Sep 21 2012 ,15,New York,207,NY,33,,,,,,Gay Catholics & Christians,579,"Gay Catholics, Christians & Friends - Social Group"
1249,LGBTQ,Jun 6 2014 ,,New York,98,NY,13,Fri Nov 11,1 going,GAPIMNY Elixir Happy Hour,07:00 PM,,Members,216,Gay Asian Pacific Islander Men of New York (GAPIMNY)
1250,LGBTQ,Sep 19 2015 ,3,New York,3,NY,1,,,,,,Members,43,NYC Gay Men Canasta Club
1251,LGBTQ,Sep 15 2016 ,,New York,1,NY,2,Sat Dec 17,1 going,location tbd,11:00 AM,,Members,175,Lesbian Foodies Exploring NYC
1252,LGBTQ,Oct 21 2016 ,,New York,,NY,1,Thu Mar 16,8 going,Lezervations NYC?îVolume I,06:30 PM,4,women,79,New York Lezervations / LBTQ Networking
1253,LGBTQ,Jun 13 2006 ,31,New York,322,NY,10,,,,,,TG'ers,542,NYC Area Transgender  Meetup Group- The Stonewall Girls!
1254,LGBTQ,Jun 8 2008 ,76,New York,"1,189",NY,14,,,,,,Dollhouse Socialites,684,NY/NJ Dollhouse
1255,LGBTQ,Sep 13 2011 ,8,New York,305,NY,13,,,,,,Meditators,47,QueerBuddhist Women
1256,LGBTQ,Aug 3 2016 ,,New York,15,NY,10,Wed Nov 16,2 going,"Join us this Wednesday at Prix Fixe Gentlemen, October 19th .",01:00 PM,,Members,124,Prix Fixe Gentlemen
1257,LGBTQ,Dec 9 2011 ,1,New York,40,NY,2,,,,,,Members,445,NYC LGBT Philosophy Forum
1258,LGBTQ,Feb 19 2016 ,2,Brooklyn,10,NY,,,,,,,Grrrrreat friends,460,Gay Bears & Cubs Wellness Fun Club
1259,LGBTQ,Jun 23 2016 ,,New York,,NY,1,Tue Aug 8,6 going,1st Tantra4GayMen Festival USA,07:00 PM,,Members,154,Tantra for Gay Men - New York
1260,LGBTQ,Jun 21 2009 ,4,New York,700,NY,7,Thu Nov 17,5 going,FREE Open House,07:15 PM,,Tangueros,"1,934","Rainbow Tango. LGBT singles, couples & friends"
1261,LGBTQ,Jun 30 2011 ,12,Jersey City,53,NJ,2,,,,,,JC Liberty-loving Lesbians,528,Jersey City Liberty-loving Lesbians
1262,LGBTQ,Nov 25 2012 ,9,New York,34,NY,1,Wed Nov 16,3 going,TBD,07:00 PM,,Guys,274,NYC Gay Vegan Singles Dinner Party Group
1263,LGBTQ,Jul 28 2006 ,19,New York,151,NY,,,,,,,NYC Gay Variants,"1,216",NYC Gay Variants
1264,LGBTQ,May 17 2011 ,16,New York,68,NY,1,,,,,,Members,444,New York Lesbian 'Coming Out Later-in-Life' Meetup Group
1265,LGBTQ,Jul 21 2015 ,,New York,8,NY,6,Wed Nov 30,3 going,Say hi to each other~,06:00 PM,,Lesbian Lesbians Mom Women Woman,219,Lesbians in the NYC Financial District
1266,LGBTQ,Jan 6 2016 ,,Long Island City,5,NY,,,,,,,Beer Queens,341,New York Craft Beer LGBT Meetup
1267,LGBTQ,May 14 2016 ,,New York,4,NY,5,,,,,,Kinky PoC Theatre Geeks,50,New York Kinky PoC Theatre Geeks under 40
1268,LGBTQ,Jun 23 2016 ,1,New York,3,NY,1,Fri Nov 18,4 going,Group Karaoke in Private Room,07:00 PM,,Members,341,LGBT Karaoke Group
1269,LGBTQ,Aug 10 2016 ,,New York,2,NY,1,Fri Dec 2,2 going,First Friday Meeting ??Topic: HANDLING REBELLIOUS CHILDREN,08:00 PM,,Members,51,NY Gay Dads
1270,LGBTQ,Aug 21 2016 ,,New York,1,NY,2,Tue Nov 15,5 going,Women on Fire Premier,07:30 PM,,Members,68,Trans*Figure's Queer and Trans Clothing Swap
1271,LGBTQ,Sep 9 2016 ,,Jersey City,2,NJ,,,,,,,Members,49,Jersey City Queers 40 plus
1272,LGBTQ,Jul 10 2010 ,89,New York,583,NY,1,,,,,,Swaggers,824,S.W.A.G. Enterprises
1273,LGBTQ,Jul 7 2011 ,19,Brooklyn,44,NY,2,,,,,,Boys on Bikes,457,Brooklyn Boys on Bikes
1274,LGBTQ,Feb 4 2015 ,,New York,14,NY,1,Sat Nov 12,3 going,Havdalah Hangout: November Edition,07:30 PM,,LGBTQS Jews,171,"Aleinu, The 20s30s Group at Congregation Beit Simchat Torah"
1275,LGBTQ,Mar 22 2015 ,1,New York,20,NY,3,Fri Nov 11,4 going,Let's meetup and contra dance.,07:00 PM,,contra dancers,330,NYC Village Contra - Gender Role Free Contra Dance Meetup
1276,LGBTQ,Dec 4 2015 ,1,New York,33,NY,1,,,,,,Big Queer Nerds,286,Queer and Nerdy
1277,LGBTQ,May 23 2016 ,1,New York,12,NY,1,Sat Dec 3,2 going,Dyker Lights Holiday Light Spectacular,02:00 PM,,OutCyclists,361,OutCycling
1278,LGBTQ,Jul 17 2016 ,1,Weehawken,7,NJ,,,,,,,Readers,123,Lesbian Book Club (New Jersey)
1279,LGBTQ,Aug 16 2016 ,,New York,2,NY,,,,,,,Members,321,"spiire, an LGBTQ community"
1280,LGBTQ,Sep 7 2016 ,,New York,5,NY,14,Fri Nov 18,1 going,"Venez, asseyez-vous. Nous allons causer en fran√ßais ""en famille.""",06:00 PM,,Members,37,New York LGBT Francophone Culture Meetup
1281,LGBTQ,Sep 21 2016 ,,New York,3,NY,1,Sun Nov 13,1 going,Brunch @ Negril Village,12:00 PM,,Members,33,LesBiQueer West Indian and Caribbean Women
1282,LGBTQ,Oct 19 2016 ,,New York,,NY,1,Mon Nov 14,3 going,Deliberate Dads NYC - November // Meetup for Gay Men Who Aspire to Be Fathers,05:30 PM,,Deliberate Dad,10,Deliberate Dads NYC
1283,Film,Feb 28 2009 ,49,Astoria,424,NY,1,,,,,,Members,766,British Film and Television Meetup Group
1284,Film,Feb 13 2011 ,77,New York,320,NY,6,Thu Nov 17,3 going,"Nitehawk Cinema presents 'THE DEUCE', a film series about old school 42nd St.",09:15 PM,,Sick n'twisted fkers!,"1,399",NYC GRINDHOUSE!
1285,Film,May 27 2013 ,11,New York,81,NY,1,Wed Nov 23,67 going,Thanksgiving Eve 80s Dance Party @ 230 Fifth: Free Admission!,06:00 PM,,Members,"6,912","*Networking for Actors, Entertainers & Media Professionals*"
1286,Film,Jan 25 2012 ,104,New York,689,NY,4,Sat Nov 12,14 going,The Trotting Crusaders of NYC,11:00 AM,,Ponies,"1,181",Bronies-NYC
1287,Film,Jun 21 2012 ,100,New York,233,NY,7,,,,,,Flixters,"3,688",Dinner and a Movie NYC
1288,Film,Jun 4 2006 ,65,New York,573,NY,2,,,,,,NYHMG Members,661,The New York Horror Movie Group
1289,Film,Nov 3 2015 ,5,New York,48,NY,1,Fri Nov 11,10 going,"Let's see ""THE VIRAL DEMON"" By JEREMY WECHTER",09:45 PM,,Creators,"1,708",Create Short Films Together!
1290,Film,Sep 7 2013 ,13,New York,46,NY,1,Sun Nov 13,46 going,Storytelling for Social Good,11:00 AM,,Storytellers,704,StoryForward NYC
1291,Film,Oct 28 2016 ,,New York,,NY,1,Mon Nov 21,43 going,Screening: Chasing the Ice,06:30 PM,,Members,134,Empowered Film Series
1292,Film,Jun 23 2015 ,14,New York,81,NY,2,Wed Nov 16,8 going,BTFC Screenwriters Committee Meeting,06:00 PM,,Storytellers,"1,086",The Black TV and Film Collective
1293,Film,Dec 17 2010 ,43,New York,448,NY,2,,,,,,MOVIEHOLIC SINGLES 40 PLUS,"2,043",NYC SINGLES over 40 MOVIE& BRUNCH &DINNER CLUB!!!
1294,Film,Nov 12 2006 ,39,New York,"1,312",NY,31,Sat Nov 12,25 going,Meetup Anniversary Party @ Empire Rooftop (Heated & Enclosed),08:00 PM,,Mixers & Minglers,"4,220","NYC Mix & Mingle Meetup Group (4,000+ members)"
1295,Film,Oct 3 2007 ,43,New York,93,NY,,,,,,,Amanti del Cinema,"1,383",(((  Cinema Italiano NY   )))
1296,Film,May 5 2006 ,19,New York,262,NY,1,Wed Nov 23,109 going,Thanksgiving Eve 80s Dance Party @ 230 Fifth: Free Admission!,06:00 PM,,Industry Insiders,"5,494","""New York Film & Fashion Professionals"""
1297,Film,Oct 27 2016 ,1,New York,1,NY,,,,,,,Creatives,90,NY Independent Filmmakers & Creative People Collective
1298,Film,Jul 28 2016 ,,New York,7,NY,7,Wed Dec 14,2 going,Come down to the South Street Seaport in NYC to watch Independent Animation!,08:00 PM,,Members,299,Animation Nights New York
1299,Film,Sep 19 2014 ,9,New York,97,NY,1,Thu Nov 17,2 going,Next WAG - November 17th!,06:30 PM,,Members,"3,374",The Writers and Actors Group
1300,Film,Aug 20 2009 ,7,New York,102,NY,3,Sat Dec 31,4 going,New Year's Eve 2017 Bollywood Soiree In NYC,09:30 PM,,Indophiles,"1,582",Desi Friends - Connecting South Asians
1301,Film,Oct 14 2002 ,24,New York,230,NY,3,Sat Nov 12,6 going,Women's International Film Festival - 30% Discount!,06:00 PM,,Indie Film Fans,"2,587",The New York City Indie Film Meetup Group
1302,Film,Dec 29 2014 ,11,North Bergen,24,NJ,,,,,,,Movie and dine/discussion lovers,186,Hudson/Bergen County Movie Lovers Dine and Discussion Meetup
1303,Film,Apr 5 2011 ,25,New York,863,NY,12,Sat Nov 12,1 going,Blood Diner with director Jackie Kong Q&A movie at 9pm,08:30 PM,,Mondo Cultists,429,Mondo Culto - The NY Cult Film Meetup
1304,Film,Jun 13 2015 ,,New York,12,NY,1,Mon Nov 28,15 going,enchanted tiki happy hour and MOANA in theaters,06:30 PM,,Mouseketeers,109,NYC Disney Fanatics Meetup
1305,Film,Dec 23 2008 ,167,New York,213,NY,1,Sat Nov 12,22 going,"Chelsea Guided Art Gallery Tour (with Savona) - $16 Till 11/11 @ 2pm, $25 After",03:00 PM,,Culture Fans,"8,187",The Culture & Film Club
1306,Film,Mar 5 2016 ,,New York,13,NY,1,Sun Nov 27,1 going,30 DAY SCREENPLAY COURSE. WRITE A FEATURE IN 30 DAYS,07:00 PM,,Filmtrepreneurs.,275,One Day Film School
1307,Film,Aug 19 2016 ,,New York,7,NY,,,,,,,Members,379,RED Digital Cinema 'Underground'
1308,Film,Apr 18 2011 ,8,New York,63,NY,,,,,,,Videographers,427,NYC Novice Video Makers Meetup
1309,Film,Nov 12 2009 ,14,New York,204,NY,9,Sat Nov 12,5 going,5-Day Digital Filmmaking Workshop November 12-16,09:30 AM,,"Filmmakers, Actors, Cameraman","3,892",NYC Filmmakers & Actors Collective
1310,Film,Oct 25 2010 ,44,New York,383,NY,7,,,,,,Minions,267,The New York DaRk siDe Horror Group
1311,Film,Mar 1 2011 ,21,New York,40,NY,1,Sun Nov 27,6 going,DRONE DAY AFTERNOON with BROOKLYN DRONES and DJI,12:00 PM,,Creatives,"1,021",ALLCREATIVE NY
1312,Film,Jan 11 2014 ,10,New York,85,NY,1,,,,,,Membres,170,Cin√©ma Fran√ßais
1313,Film,Oct 7 2015 ,1,New York,10,NY,,,,,,,CVR Filmmakers,344,Cinematic VR NYC
