"","X","Address","Cuisine","DiningStyle","Restaurant","lon","lat"
"169",168,"9 Penn Plaza New York, NY 10001","Steakhouse","Casual Elegant","Nick & Stefs Steakhouse - New York",-73.9932303,40.7510597
"170",169,"428 Amsterdam Ave New York, NY 10024","Seafood","Casual Dining","Crave Fishbar - UWS",-73.9778554,40.7842998
"171",170,"9 Great Jones St. New York, NY 10012","Bistro","Casual Dining","Acme",-73.9940567,40.727229
"172",171,"142 West 44th Street New York, NY 10036","Italian","Casual Dining","Osteria al Doge",-73.9849106,40.7566174
"173",172,"1057 2nd Avenue New York, NY 10022","Lebanese","Casual Elegant","NAYA Mezze & Grill",-73.9662178,40.7585449
"174",173,"120 East 28th Street New York, NY 10016","Japanese","Casual Elegant","o ya - NYC",-73.9832519,40.742624
"175",174,"156 10th Avenue New York, NY 10011","American","Casual Elegant","Cookshop",-74.0054833,40.745519
"176",175,"430 Hudson Street New York, NY 10014","Contemporary American","Casual Elegant","Piora",-74.0065462,40.7306261
"177",176,"311 Church Street New York, NY 10013","Chinese","Home Style","Macao Trading Company",-74.0039187,40.7196215
"178",177,"43 West 65th Street New York, NY 10023","Dim Sum","Casual Dining","Shun Lee Cafe",-73.9813485,40.7729
"179",178,"49 West 64th St. New York, NY 10023","Seafood","Casual Elegant","Atlantic Grill Near Lincoln Center",-73.9812623,40.7722267
"180",179,"235 West 48th Street New York, NY 10036","Italian","Casual Elegant","La Masseria",-73.9858292,40.7607531
"181",180,"171 Spring St New York, NY 10012","Spanish","Casual Dining","Boqueria Soho",-74.002141,40.7249134
"182",181,"10 East 52nd Street New York, NY 10021","Mediterranean","Casual Elegant","FIG & OLIVE Fifth Avenue",-73.975653,40.7592909
"183",182,"154 West 13th St. New York, NY 10011","Seafood","Casual Dining","Flex Mussels - 13th Street",-73.9996942,40.7374001
"184",183,"1081 Third Avenue New York, NY 10065","Italian","Casual Dining","Tony's Di Napoli - UES",-73.9640825,40.7643279
"185",184,"182 8th Ave New York, NY 10011","Mexican","Casual Dining","Rocking Horse Cafe",-73.9998818,40.7428942
"186",185,"1 Penn Plaza New York, NY 10019","Italian","Casual Elegant","Lugo Cucina",-73.9924654,40.7511649
"187",186,"40 Broad Street, 2nd Level New York, NY 10004","Kosher","Casual Dining","Reserve Cut at Setai",-74.0138541,40.7038704
"188",187,"45 Rockefeller Plaza New York, NY 10011","Mediterranean","Fine Dining","Limani - NYC",-73.9785401,40.7578542
"189",188,"1167 Madison Avenue New York, NY 10020","Italian","Casual Elegant","Ristorante Morini",-73.9589599,40.7806275
"190",189,"390 Park Avenue New York, NY 10022","Italian","Casual Elegant","Casa Lever",-73.9728451,40.7595975
"191",190,"250 East 83rd Street New York, NY 10020","Italian","Fine Dining","Erminia Ristorante",-73.9536069,40.7759387
"192",191,"136 9th Ave. New York, NY 10011","Spanish","Casual Elegant","Salinas",-74.003074,40.7436696
"193",192,"1501 Broadway New York, NY 10036","American","Casual Dining","Hard Rock Cafe - Times Square",-73.9865613,40.757122
"194",193,"16 West 51st Street New York, NY 10019","Burgers","Casual Dining","Bill's Bar and Burger",-73.9774649,40.759458
"195",194,"380 Lafayette Street New York, NY 10003","French","Casual Elegant","Lafayette",-73.9937785,40.7276201
"196",195,"109 1st Avenue New York, NY 10003","Japanese","Casual Dining","Senya",-73.9861439,40.726888
"197",196,"1494 Second Ave New York, NY 10075","Italian","Casual Elegant","Lusardi's Restaurant",-73.9554181,40.7723831
"198",197,"10 Columbus Circle 3rd Floor New York, NY 11102","French","Casual Dining","Landmarc at the Time Warner Center",-73.9831903,40.7684251
"199",198,"99 Gansevoort Street New York, NY 10014","American","Casual Elegant","Untitled at the Whitney",-74.0088604,40.7396091
"200",199,"408 W 15th St. New York, NY 10011","American","Casual Dining","Kola House",-74.005795,40.7417779
"201",200,"9 West 53rd Street New York, NY 10019","Contemporary American","Casual Elegant","The Modern - Bar Room",-73.9768318,40.7609475
"202",201,"182 2nd Avenue New York, NY 10003","Italian","Casual Dining","Cacio e Pepe",-73.9859073,40.7306379
"203",202,"125 East 39th Street New York, NY 10016","Japanese","Fine Dining","Kajitsu",-73.9776856,40.7499
"204",203,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY 10017","Steakhouse","Fine Dining","The Capital Grille - NY  Chrysler Center",-73.9697795,40.7519846
"205",204,"228 West 52nd Street New York, NY 10019","Steakhouse","Casual Elegant","Gallaghers Steakhouse - Manhattan",-73.983915,40.7627682
"206",205,"805 3rd Ave 2nd Floor New York, NY 10022","Japanese","Casual Elegant","Gyu-Kaku - Midtown",-73.9705679,40.7554239
"207",206,"86 Orchard St New York, NY 10002","Regional Mexican","Casual Dining","Casa Mezcal",-73.9901253,40.7179202
"208",207,"206 Sullivan Street New York, NY 10012","Italian","Casual Elegant","Senza Gluten",-74.000394,40.7290261
"209",208,"630 9th Avenue New York, NY 10036","American","Casual Dining","5 Napkin Burger - Hell's Kitchen",-73.9911492,40.7599157
"210",209,"99 3rd Ave. New York, NY 10003","Thai","Casual Dining","Ngam",-73.987572,40.732268
"211",210,"511 E 5TH STREET New York, NY 10009","American","Casual Dining","GG's",-73.9836585,40.7247297
"212",211,"15 East 17th Street New York, NY 10003","Malaysian","Casual Dining","Laut",-73.991051,40.737643
"213",212,"25 East 77th Street, The Mark Hotel The Mark Hotel New York, NY 10075","American","Casual Elegant","The Mark Restaurant by Jean-Georges",-73.9558204,40.7728432
"214",213,"133 East 65th St. New York, NY 10065","American","Casual Elegant","The East Pole - Kitchen and Bar",-73.9656651,40.7663461
"215",214,"754 Ninth Avenue New York, NY 10019","Mexican","Casual Dining","Hell's Kitchen",-73.9883217,40.7638338
"216",215,"75 Ninth Avenue New York, NY 10011","Seafood","Casual Dining","Cull and Pistol",-74.0060838,40.7425547
"217",216,"43 West 65th Street New York, NY 10023","Chinese","Casual Elegant","Shun Lee West",-73.9813485,40.7729
"218",217,"300 West 22nd St. New York, NY 10011","American","Casual Elegant","Foragers Table",-73.9994754,40.7446826
"219",218,"Grand Central Terminal 89 E. 42nd St. New York, NY 10017","Seafood","Casual Dining","Grand Central Oyster Bar",-73.9772294,40.7527262
"220",219,"679 Riverside Dr. New York, NY 10031","Puerto Rican","Casual Elegant","Sofrito NYC",-73.9560005,40.8264806
"221",220,"One Wall Street Court New York, NY 10005","Sushi","Casual Elegant","Haru Sushi - Wall Street",-74.0118078,40.7071269
"222",221,"70 West 68th Street New York, NY 10023","Italian","Casual Dining","Joanne Trattoria",-73.9803005,40.7745163
"223",222,"245 Park Ave S New York, NY 10003","Seafood","Casual Elegant","Gramercy Farmer and The Fish",-73.987497,40.737978
"224",223,"160 East 38th Street New York, NY 10016","Tex-Mex","Casual Dining","El Rio Grande",-73.976798,40.7480827
"225",224,"226 West 50th Street New York, NY 10019","Sushi","Casual Elegant","Natsumi Restaurant",-73.985274,40.7616963
"226",225,"1740 Broadway New York, NY 10019","French","Casual Dining","Brasserie Cognac",-73.9818607,40.7649643
"227",226,"282 Bowery New York, NY 10012","French","Casual Elegant","Cherche Midi",-73.9929992,40.7239624
"228",227,"135 E 62nd St New York, NY 10065","American","Fine Dining","Tavern 62 by David Burke",-73.9670828,40.7644424
"229",228,"54 Carmine Street New York, NY 10014","American","Casual Elegant","Market Table",-74.0037193,40.7297746
"230",229,"210 Elizabeth Street New York, NY 10012","International","Casual Elegant","PUBLIC",-73.9940806,40.722198
"231",230,"8941 Elk Grove Boulevard Elk Grove, CA 95624","French","Fine Dining","Boulevard Bistro",-121.3695784,38.4092335
"232",231,"590 Lexington Ave New York, NY 10022","French","Casual Dining","Le Relais de Venise",-73.9717686,40.7576759
"233",232,"976 Madison Avenue New York, NY 10075","Japanese","Casual Elegant","Kappo Masa",-73.9635456,40.7746615
"234",233,"One Hanover Square New York, NY 10004","Steak","Casual Elegant","Harry's Cafe and Steak",-74.009734,40.7046145
